"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/2e0d4551-0137-488f-9abd-554c1fc73f38-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","dota2ti","960965760","7020","292384","136889","663297","59415","44818260","true","false","English","dota2ti"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7714a7c7-25b9-4a2b-9d45-99cd5554004c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","dota2ti_ru","757393365","7170","287422","105633","541644","78877","23117249","true","false","Russian","dota2ti_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","LCS","373681215","2715","351069","137635","1027667","48538","7333470","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","LIRIK","318474975","12525","59039","25426","2622996","26339","6278443","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","sodapoppin","297631890","13305","48660","22369","2731773","34016","6113089","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","imaqtpie","286337700","15150","33476","18899","2658197","49689","5889685","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","nl_Kripp","223052190","11220","34905","19879","1374539","18133","3362322","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","LEC","208149675","3315","178781","62789","865314","33316","4647095","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/reckful-profile_image-b22e4d39d3d6e045-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9","Reckful","182800905","12720","35794","14370","923809","36947","3871606","true","false","English","Reckful"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","summit1g","180245430","16080","31799","11208","5355651","47603","3814136","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","11","EclypsiaTVLoL","173090820","44490","11397","3890","204146","14924","3595438","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ac31cc4-78cf-4fa3-b535-3b9c80d46250-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","RocketBeansTV","156942000","44610","17063","3517","412202","5244","3240059","true","false","German","RocketBeansTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55949a07-d9e4-4b1e-84f7-6ec129f193ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","IzakOOO","155435880","8370","38768","18570","1442262","33024","5422513","true","false","Polish","IzakOOO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","CohhCarnage","142164345","13605","36716","10448","1243901","25165","2890474","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d59e100f-8fa8-41a0-8c82-2f1a4d96971c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","ESL_CSGO_NC","133045845","5280","59415","25197","167094","85913","3363243","true","false","English","ESL_CSGO_NC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","YoDa","131534235","11775","23917","11170","1720072","28991","3688574","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","Nightblue3","122629935","5835","34248","21015","2639859","64381","3522446","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/towelliee-profile_image-f9752afc441702cc-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Towelliee","116502270","20040","25305","5812","700273","20190","2375823","true","false","English","Towelliee"
"https://static-cdn.jtvnw.net/jtv_user_pictures/263197d4-1385-4372-95e7-68bf35de8507-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","reynad27","116336205","9900","25792","11750","510874","15536","1907065","true","true","English","reynad27"
"https://static-cdn.jtvnw.net/jtv_user_pictures/esl_overwatch-profile_image-dc68066c0548ab54-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","ESL_Overwatch","107279685","20805","77547","5155","176137","54457","3378885","true","false","English","ESL_Overwatch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","sneakylol","103583370","6660","26641","15552","1637232","24606","1982044","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b30828ba3efd51a5-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","Gosu","103198845","10425","20850","9898","1718638","37398","2563326","true","false","English","Gosu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","23","ESL_CSGO","100157235","36615","82529","2734","3940682","10646","3346515","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","MOONMOON","97705050","15975","11774","6115","896184","45058","1985321","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","Thijs","94445595","8280","23117","11405","750861","20318","1727835","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32b68813-ea70-43bf-a8e4-a55f3096f408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","DansGaming","92039325","15195","26943","6056","813017","16576","1765549","true","false","English","DansGaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/milleniumtvhs-profile_image-1c57dacd088f7700-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","MilleniumTVHS","89271165","30885","9053","2889","94099","3835","2145919","true","false","French","MilleniumTVHS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","OgamingLoL","89167080","40590","23670","2196","506273","4996","2535838","true","false","French","OgamingLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7679c01d-d1c2-4d32-af0b-d4d84ea22d89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","PlayHearthstone","87555390","3765","61589","23254","828604","9981","2537936","true","false","English","PlayHearthstone"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b0aty-profile_image-e38e8afc1f3f8fd5-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","B0aty","83080140","17385","11499","4778","515362","5336","1517362","true","true","English","B0aty"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4a77983b-b227-42c3-8752-8a89a02cfdff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","CarTmaNzbs","82516620","10890","16092","7576","355266","11872","1799625","true","false","Russian","CarTmaNzbs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9807cf14-750b-4578-b26b-eed443f72a50-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","AdmiralBahroo","78983445","15675","12328","5038","770646","21044","1154516","true","false","English","AdmiralBahroo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/12792cac-c308-4754-b932-31090fe89e6e-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","33","MLG","78215745","2475","116823","31601","792572","32188","1064747","true","true","English","MLG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ea6bf395-02bd-4b7c-8679-15d362522103-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","Voyboy","76431885","7755","18537","9855","1228127","15471","1321846","true","false","English","Voyboy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4dcfca5f-b334-4a03-a273-29f865c9ee90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","LCK","76114905","3915","97264","19441","843848","12856","1455059","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","Dyrus","75798135","8130","24109","9322","1473735","18362","1804323","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/972fe1f486e6a958-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","SummonersInnLive","75335370","10245","23676","7352","499626","6684","2077851","true","false","German","SummonersInnLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a3e4571a1b9363e8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","38","TrumpSC","74206365","11775","20958","6301","819735","6501","1541402","true","false","English","TrumpSC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec693537-6ed1-41a6-8d7c-63d7b8d0cee8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","39","Rush","73075020","11790","16486","6197","544317","29341","1493283","true","false","English","Rush"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","Amaz","71891160","5895","31473","12194","922036","7937","1569359","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/asiagodtonegg3be0-profile_image-081feb3428b1a1c6-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","41","亞洲統神 (asiagodtonegg3be0)","71365035","9780","12475","7296","494643","8008","2581607","true","false","Chinese","亞洲統神 (asiagodtonegg3be0)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/da0f7414-bb9e-4993-b797-63ac05604502-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","ALOHADANCETV","71131245","16095","17534","4418","513808","19099","1756618","true","false","Russian","ALOHADANCETV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/garenatw-profile_image-85f32c0eaad8b48e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","43","GarenaTW","70936875","3105","76230","22845","404698","5233","1592232","true","false","Chinese","GarenaTW"
