"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/dotamajor-profile_image-c0dbf5d6c57182d1-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","DotaMajor","439291245","4575","221817","96019","170891","24018","27503213","true","false","English","DotaMajor"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dotamajorru-profile_image-448cc6722e447475-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","2","DotaMajorRU","378189750","4530","235269","83485","181728","31067","14950006","true","false","Russian","DotaMajorRU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","3","imaqtpie","328972665","15015","38248","21909","2658197","45395","6020892","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","nl_Kripp","311009490","11820","88286","26311","1374528","25111","3787076","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eleaguetv-profile_image-3944326c25ed471d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","5","ELEAGUE TV (eleaguetv)","281087985","3960","174369","70981","1655110","66490","6684055","true","false","English","ELEAGUE TV (eleaguetv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","summit1g","269314695","16275","31894","16547","5355651","50003","4904943","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/db623728431d29c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","Yogscast","247577790","42870","33694","5774","961341","24120","12302241","true","false","English","Yogscast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","sneakylol","204964125","12855","29098","15943","1637232","29832","3222487","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","LIRIK","196171245","8445","54741","23228","2622996","23817","3374688","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Riot Games (riotgames)","192812025","5025","127543","38370","4508388","14283","5345517","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","Amaz","165656925","11475","45627","14435","922036","12170","2856009","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","EclypsiaTVLoL","156572955","44355","13642","3529","204146","8615","3329939","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/doublelift-profile_image-3cd6f7042b23a619-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","13","Doublelift","156374055","9825","33904","15915","1386249","37211","3061634","true","false","English","Doublelift"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","sodapoppin","150106605","10350","25052","14502","2731773","14710","2928696","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","YoDa","148955190","9195","34427","16199","1720072","33194","3656261","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","TimTheTatman","132980085","10110","24791","13152","4942208","41118","2089643","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b42d4e6d5f5c3781-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","TaKeTV2","132378285","5805","71557","22803","80337","14509","2111344","true","false","English","TaKeTV2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/milleniumtvhs-profile_image-1c57dacd088f7700-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","MilleniumTVHS","126899205","39000","16754","3253","94099","2320","2938491","true","false","French","MilleniumTVHS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/admiralbulldog-profile_image-888d5b80958e636f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","19","AdmiralBulldog","124657275","8805","56253","14157","680549","19158","2179055","true","true","English","AdmiralBulldog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/faceittv-profile_image-45e9e95c0f48f50e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","FACEIT TV (faceittv)","119545140","1995","119443","59921","1689489","14338","3460001","true","false","English","FACEIT TV (faceittv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","Nightblue3","118009125","6570","32856","17961","2639859","44242","2849615","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55949a07-d9e4-4b1e-84f7-6ec129f193ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","IzakOOO","116395485","12615","48160","9226","1442262","18257","3467391","true","false","Polish","IzakOOO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6adc9261-650e-41e7-8ce5-954aea4a399c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","singsing","115563705","13530","21000","8540","570204","11051","2003897","true","true","English","singsing"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","24","Castro_1021","113050215","9060","30466","12477","2386061","18931","1301686","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","CohhCarnage","106975935","13020","17787","8215","1243901","15585","1890904","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","Thijs","104333085","7140","32832","14612","750861","17608","1725729","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","Dyrus","104175225","11565","24503","9007","1473735","20996","1972832","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","28","ESL_CSGO","100837785","43905","7372","2296","3940682","11757","2919137","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","MOONMOON","95716380","12810","13819","7471","896184","36572","1591782","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e87a0ccf-dabc-41e9-80a3-56c41d4a5455-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","DreadzTV","93811230","4965","42509","18893","664874","9437","2073245","true","true","Russian","DreadzTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/arteezy-profile_image-f2f55f87a5cd6e15-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","Arteezy","89622660","5340","24016","16782","581669","11272","1311434","true","true","English","Arteezy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hearthstonefr-profile_image-bdcd14562a82d7ee-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","HearthstoneFR","89068890","44460","6832","2002","161432","3343","1732344","true","false","French","HearthstoneFR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","33","풍월량 (hanryang1125)","86666250","10800","13088","8024","479392","9316","1157060","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a3e4571a1b9363e8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","34","TrumpSC","86578200","11820","22281","7324","819735","8361","1444365","true","false","English","TrumpSC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","SilverName","84210150","6720","20105","12530","594312","13061","1716988","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b661585e-209f-4f34-aa52-09c997d12522-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","P4wnyhof","77921730","10605","14276","7347","485279","8729","1310449","true","false","English","P4wnyhof"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","37","Savjz","75951600","6105","39978","12440","541498","17172","1248128","true","true","English","Savjz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/263197d4-1385-4372-95e7-68bf35de8507-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","reynad27","73638780","7665","26192","9606","510874","6282","1003869","true","true","English","reynad27"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32b68813-ea70-43bf-a8e4-a55f3096f408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","DansGaming","73313235","13470","14968","5442","813017","5101","1322938","true","false","English","DansGaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/asiagodtonegg3be0-profile_image-081feb3428b1a1c6-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","40","亞洲統神 (asiagodtonegg3be0)","70785525","8655","14770","8178","494643","4294","2275581","true","false","Chinese","亞洲統神 (asiagodtonegg3be0)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/da0f7414-bb9e-4993-b797-63ac05604502-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","ALOHADANCETV","70303215","11715","24995","6000","513808","14184","1709800","true","false","Russian","ALOHADANCETV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","loltyler1","69794790","6825","23498","10225","3378071","37760","1990413","true","false","English","loltyler1"
