"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Riot Games (riotgames)","1117376475","12690","363268","88051","4508393","49393","15608286","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","2","ESL_CSGO","443577150","41100","154793","10792","3940682","68875","9225894","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8adeaa5d-c7a2-43bf-aaa0-409424f0c4f5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","AtheneLIVE","279772710","41730","10147","6703","210140","10724","945315","true","false","English","AtheneLIVE"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","LIRIK","259402530","9975","68464","26004","2622985","31147","2982225","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","5","imaqtpie","249121935","12435","44196","20033","2658197","40702","3358661","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","Nightblue3","201295845","9060","45607","22217","2639859","36715","2557763","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dotamajor-profile_image-c0dbf5d6c57182d1-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","7","DotaMajor","191399940","3495","96331","54763","170891","22220","5364458","true","false","English","DotaMajor"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","nl_Kripp","187990395","9405","36762","19987","1374539","17482","1384047","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","Amaz","185862300","9795","69746","18974","922036","16555","2052567","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ac31cc4-78cf-4fa3-b535-3b9c80d46250-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","RocketBeansTV","178860885","41490","39817","4310","412202","6379","2100234","true","false","German","RocketBeansTV"
