"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","ESL_CSGO","1262183685","42840","493961","29462","3940682","217918","25238528","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","GamesDoneQuick","964846335","9540","161412","101136","1693463","110841","17622592","true","false","English","GamesDoneQuick"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","LCS","404496810","6780","191108","59659","1027667","57619","10097390","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","LIRIK","274329420","10995","40792","24949","2622996","23600","4944384","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","nl_Kripp","237620805","11010","34940","21581","1374539","19447","2941563","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","imaqtpie","213490425","13410","28883","15919","2658197","39205","4603652","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b2fc2f5a92e3152e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","esl_RuHub_CSGO","186007170","3795","83539","49013","317626","48875","3335856","true","false","Russian","esl_RuHub_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","summit1g","181772325","12735","54482","14272","5355651","59389","5072637","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","sodapoppin","163753110","9690","54398","16898","2731773","21434","4093362","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","EclypsiaTVLoL","163569795","44460","12278","3678","204146","13858","3328504","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a5d6170b9da466fa-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","11","Evo","160411350","3195","214568","50206","379912","40002","6083360","true","false","English","Evo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","Nightblue3","157582470","7740","30909","20358","2639859","62447","3977159","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","13","BeyondTheSummit","157424025","11730","74299","13420","912089","9415","4611063","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/esl_inclientcsgo-profile_image-68c17f534a0bd5b3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","ESL_inclientCSGO","154225935","3885","86751","39697","3546","1878","743076","true","false","","ESL_inclientCSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ea6bf395-02bd-4b7c-8679-15d362522103-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","Voyboy","145125600","13425","18622","10809","1228127","27474","2437274","true","false","English","Voyboy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ac31cc4-78cf-4fa3-b535-3b9c80d46250-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","RocketBeansTV","141354615","44580","36477","3170","412202","5260","2904093","true","false","German","RocketBeansTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","LEC","139124175","5400","83353","25763","865314","25430","3888119","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/078f6369-0a03-4fed-ac32-9b541d8fa25f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","StarLadder1","120161040","4065","105581","29559","573963","21337","2714950","true","false","Russian","StarLadder1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fd957ece-6214-476a-a6ee-483c20739107-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","dotastarladder_en","119053455","4635","80993","25685","268191","5076","2537638","true","false","English","dotastarladder_en"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eleaguetv-profile_image-3944326c25ed471d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","ELEAGUE TV (eleaguetv)","116051190","2640","162168","43958","1655110","36561","3786428","true","false","English","ELEAGUE TV (eleaguetv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e87a0ccf-dabc-41e9-80a3-56c41d4a5455-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","DreadzTV","114695715","6975","36976","16443","664874","12121","2263859","true","true","Russian","DreadzTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","sneakylol","114381390","7950","26502","14387","1637232","28893","2253751","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b42d4e6d5f5c3781-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","TaKeTV2","103434540","4530","67432","22832","80337","12750","1664455","true","false","English","TaKeTV2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f4e9be56-5c76-4598-a8b3-36f61b4d457c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","Academy","101684370","4785","123903","21250","292461","28546","2566554","true","false","English","Academy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/daebf3b9-203e-4c1c-9ac5-0e8bf445be86-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","CapcomFighters","99973425","3345","106043","29886","340498","14312","2750467","true","false","English","CapcomFighters"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","26","YoDa","94822605","8790","26115","10787","1720072","27568","2747325","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/pro_dota2_tv-profile_image-a76ef71e82770316-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","27","PRO_DOTA2_TV","94183155","39360","3534","2392","14337","7495","228395","false","false","Russian","PRO_DOTA2_TV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","CohhCarnage","89774055","11895","17446","7546","1243901","13540","1830321","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f7cafde5-d31a-4394-92fb-f5f6d60581e3-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","29","beyondthesummit_ru","87264780","2835","78196","30780","74291","13945","1595983","true","false","Russian","beyondthesummit_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/milleniumtvhs-profile_image-1c57dacd088f7700-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","MilleniumTVHS","84017280","33300","10386","2522","94099","3200","1974265","true","false","French","MilleniumTVHS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","MOONMOON","82985130","15795","12628","5253","896184","54809","1899346","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","Dyrus","81889275","10440","24439","7843","1473735","25926","2096913","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","33","TimTheTatman","79670640","10995","14353","7245","4942208","27702","1563874","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4dcfca5f-b334-4a03-a273-29f865c9ee90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","LCK","79332795","6345","34583","12502","843848","15374","1739633","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/972fe1f486e6a958-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","SummonersInnLive","77045115","15900","20937","4845","499626","7055","2484856","true","false","German","SummonersInnLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c70194ff-884e-4b35-9848-5fa3bcbd49e5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","brtt","76550250","8250","17945","9278","783589","38652","2385142","true","false","Portuguese","brtt"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4a77983b-b227-42c3-8752-8a89a02cfdff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","CarTmaNzbs","76173585","10665","18941","7141","355266","12568","1636313","true","false","Russian","CarTmaNzbs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32b68813-ea70-43bf-a8e4-a55f3096f408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","DansGaming","75849585","14775","10656","5133","813017","8651","1361244","true","false","English","DansGaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/22bdb876-0fae-4d40-99c8-02fe30de9d47-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","StreamerHouse","72801495","44595","3067","1631","630281","2547","429520","true","false","English","StreamerHouse"
