"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","imaqtpie","406064175","16155","44484","25135","2658197","50043","7518215","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","2","ESL_CSGO","256959315","40185","159179","6393","3940682","22839","6736735","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","sneakylol","250437900","13470","35408","18591","1637232","34837","3615374","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","summit1g","211607820","13410","29729","15779","5355651","34338","3648472","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5","BeyondTheSummit","207224970","11610","81886","17848","912089","17165","4733555","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/faceittv-profile_image-45e9e95c0f48f50e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","FACEIT TV (faceittv)","195707385","8790","74340","22264","1689489","25454","7407393","true","false","English","FACEIT TV (faceittv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","LIRIK","193961100","8715","37149","22255","2622996","17428","3479371","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/doublelift-profile_image-3cd6f7042b23a619-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Doublelift","169079925","10470","30405","16148","1386249","34675","3653660","true","false","English","Doublelift"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","nl_Kripp","141368820","7875","37579","17951","1374539","12567","1998757","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","EclypsiaTVLoL","138240855","42570","24061","3246","204146","6971","3076040","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/milleniumtvhs-profile_image-1c57dacd088f7700-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","MilleniumTVHS","130585875","38010","33517","3435","94099","3621","3015713","true","false","French","MilleniumTVHS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","Amaz","127167675","11955","62334","10636","922036","11538","2260178","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","sodapoppin","122122785","8895","25788","13728","2731773","8044","2404247","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55949a07-d9e4-4b1e-84f7-6ec129f193ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","IzakOOO","121586895","13485","28432","9015","1442262","11072","3783551","true","false","Polish","IzakOOO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","SilverName","120983565","8685","33533","13929","594312","21465","2303982","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","Castro_1021","120714810","9930","46196","12156","2386061","20209","1907395","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","TimTheTatman","115011885","10245","21505","11225","4942208","36478","1841942","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","YoDa","114698775","8220","37831","13953","1720072","19119","2850024","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","Dota2RuHub","112938300","16635","28087","6788","736919","6650","3873432","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","CohhCarnage","111108765","13080","22226","8494","1243901","12450","1938901","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/blizzard-profile_image-ede74b5c45a43edc-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","21","Blizzard","104542740","2685","207518","38935","374678","52452","2535648","true","false","English","Blizzard"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","풍월량 (hanryang1125)","103014630","11865","16866","8681","479392","20403","1478526","true","true","Korean","풍월량 (hanryang1125)"
