"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/dotamajorru-profile_image-448cc6722e447475-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","DotaMajorRU","578866755","4860","373057","119108","181728","40226","19840236","true","false","Russian","DotaMajorRU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dotamajor-profile_image-c0dbf5d6c57182d1-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","2","DotaMajor","531500100","4770","253811","111425","170891","33463","36988887","true","false","English","DotaMajor"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","summit1g","408729750","15975","51256","25585","5355651","70937","7918413","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5da18337-db02-4500-931d-d3ed6ab034f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","StarLadder_cs_en","372522045","4875","261349","76414","823179","71162","9842444","true","false","English","StarLadder_cs_en"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","LCS","319031940","2835","399226","112532","1027667","33106","4760155","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","LIRIK","305816475","8565","65317","35704","2623006","32724","5141719","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","nl_Kripp","269764860","11235","94309","24010","1374528","39510","4714202","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","imaqtpie","220939095","11880","36203","18597","2658197","33548","4508022","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9","BeyondTheSummit","213603900","10020","102697","21317","912116","81540","6209702","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","LEC","207851400","4125","181289","50387","865610","26272","3967150","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89483edd-c436-4ec8-a806-cf5fff07b889-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","StarLadder5","166136625","5445","98476","30511","1029203","12683","5267443","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8d288802-0f05-4496-b69d-b927fee689d6-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","PGL_Dota","166005405","2955","102142","56177","58525","12354","3978454","true","false","English","PGL_Dota"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","Dota2RuHub","150640605","8850","100765","17021","736932","7242","3451565","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","Thijs","138999045","9060","44001","15341","750861","29518","2761920","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","Savjz","136599975","10350","35901","13197","541498","26040","2265094","true","true","English","Savjz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e38c722d-e0d0-414c-9a5c-d8a2c4943d2d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","armateam","132780900","38670","18436","3433","186832","6180","2437446","true","false","French","armateam"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af40d3c1-0dee-4af5-a431-468a6fc4280f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","JoshOG","127836180","15975","13646","8001","1750433","37782","1963122","true","false","English","JoshOG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","sodapoppin","124505430","7470","36355","16666","2731773","17043","2407638","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7679c01d-d1c2-4d32-af0b-d4d84ea22d89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","PlayHearthstone","118198140","7860","71066","15037","828604","22567","2641582","true","false","English","PlayHearthstone"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","TimTheTatman","116459070","9765","20967","11925","4942208","41667","2149256","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","Amaz","116075715","8355","42737","13892","922036","15784","2192609","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","DisguisedToast","111151290","11145","22703","9972","1318483","39978","1786748","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","SilverName","102613305","6795","31332","15100","594312","16201","2304171","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","24","EclypsiaTVLoL","101959650","40245","12279","2532","204146","6884","2815409","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94784297-9634-41c4-848c-a359e9dca7d8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","SmiteGame","101756235","7590","33864","13406","512939","22560","1435445","true","false","English","SmiteGame"
"https://static-cdn.jtvnw.net/jtv_user_pictures/aiekillu-profile_image-5f7736e8b087d89a-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","26","Aiekillu","101630955","4470","56190","22735","703010","73612","2133581","true","true","French","Aiekillu"
