"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/2e0d4551-0137-488f-9abd-554c1fc73f38-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","dota2ti","1139312505","7500","410915","151907","663297","150664","48395969","true","false","English","dota2ti"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7714a7c7-25b9-4a2b-9d45-99cd5554004c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","dota2ti_ru","777603825","6945","321957","111965","541644","120005","24335924","true","false","Russian","dota2ti_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","shroud","385462470","19770","52205","19496","7069584","232742","6576722","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","LIRIK","351853875","15510","46659","22685","2623006","42013","5966350","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","summit1g","302495340","14520","44374","20832","5355651","79421","6015788","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","LCS","234972615","4350","205703","54016","1027667","33950","3893114","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","DrDisrespect","225219795","9795","40939","22992","4422124","139141","4887570","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","imaqtpie","222050265","13035","35662","17034","2658197","52705","4065733","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","nl_Kripp","218191845","11205","79952","19472","1374528","28600","3894016","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","LEC","200944845","8610","138513","23338","865610","37550","4136545","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","sodapoppin","186081435","10695","36945","17398","2731773","50367","3231785","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/grimmmz-profile_image-b6c4dd27a4b900a3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","Grimmmz","182898630","18540","23512","9864","1001144","81990","3539942","true","true","English","Grimmmz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","13","YoDa","173748495","13035","24588","13328","1720072","46091","3977040","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","Thijs","157704390","10980","35007","14362","750861","32856","2542598","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","Savjz","150164595","12090","24985","12420","541498","29814","2257377","true","true","English","Savjz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","DisguisedToast","138506880","13740","25946","10080","1318483","51743","1869327","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","CohhCarnage","131680845","11970","19694","11000","1243919","20248","2037442","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e38c722d-e0d0-414c-9a5c-d8a2c4943d2d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","armateam","125158860","44280","12306","2826","186832","19305","2165444","true","false","French","armateam"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c1276a2-6cb5-4ae1-a4ca-268c1732ec0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","DreamHackCS","124063995","43200","135132","2871","1784763","67249","1527608","true","false","English","DreamHackCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/garenatw-profile_image-85f32c0eaad8b48e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","GarenaTW","117791550","4470","60378","26351","404698","6873","2197849","true","false","Chinese","GarenaTW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4dcfca5f-b334-4a03-a273-29f865c9ee90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","LCK","117170385","4140","167641","28301","843848","35692","1966803","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/397c5a92be032502-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","PlayOverwatch","101080170","9390","53983","10764","487281","64681","2981985","true","false","English","PlayOverwatch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","23","TimTheTatman","100101030","9615","23391","10410","4942208","45688","2053580","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dogdog-profile_image-5550ade194780dfc-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","24","dogdog","98405220","9195","25756","10701","590505","25237","1256021","true","false","English","dogdog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/244463da-416b-41e0-8c78-6555bb1f7d01-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","playBATTLEGROUNDS","97950900","990","167604","98939","696994","129026","2661363","true","false","English","playBATTLEGROUNDS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/axtlol-profile_image-97bf65050bc4cb87-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","aXtLOL","96253620","11595","17831","8300","749614","35592","1990988","true","false","Portuguese","aXtLOL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","27","풍월량 (hanryang1125)","93275655","11100","14441","8402","479392","14071","1411852","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","Amaz","92779575","8790","22625","10554","922036","30364","1559960","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/arthas-profile_image-526fee4e5d633d89-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","29","Arthas","91518060","4980","59814","18376","646851","45002","2673720","true","false","Russian","Arthas"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","EclypsiaTVLoL","89594295","43635","8032","2052","204146","13129","2245976","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ogn_lol-profile_image-ec836b5e1fbf833f-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","OGN_LoL","83431335","3465","68927","24077","152311","11406","2393073","true","false","Korean","OGN_LoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/faceittv-profile_image-45e9e95c0f48f50e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","32","FACEIT TV (faceittv)","82663305","2100","63912","39362","1689489","96982","2151404","true","false","English","FACEIT TV (faceittv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","33","ESL_CSGO","81689970","38445","48052","2124","3940681","47711","2483345","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af40d3c1-0dee-4af5-a431-468a6fc4280f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","JoshOG","79905240","13545","13216","5898","1750433","17523","1267187","true","false","English","JoshOG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","Nightblue3","79812570","5565","28154","14341","2639859","33725","1813095","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","OgamingLoL","79154985","43875","19981","1803","506290","19336","1900655","true","false","French","OgamingLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32b68813-ea70-43bf-a8e4-a55f3096f408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","DansGaming","78139530","22605","9602","3456","813016","13403","1210800","true","false","English","DansGaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/reckful-profile_image-b22e4d39d3d6e045-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","38","Reckful","75833130","9450","16020","8024","923809","13203","1856257","true","false","English","Reckful"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","MOONMOON","75352710","11940","14218","6310","896184","32450","1212664","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","Dyrus","74434125","9105","15005","8174","1473735","18680","1334139","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","loltyler1","73472655","6465","32792","11364","3378071","47554","1758293","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af5dbb85-66e4-405b-bf66-9e9242254030-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","42","Heroes of the Storm (blizzheroes)","70393815","8685","26811","8104","329611","16460","2391757","true","false","English","Heroes of the Storm (blizzheroes)"
