"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","shroud","413285655","12960","110972","31888","7069584","196605","9498469","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/db623728431d29c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Yogscast","408157230","42015","60582","9714","961341","44390","16302296","true","false","English","Yogscast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","summit1g","319451115","14310","44115","22323","5355651","97655","6282533","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","LIRIK","306152010","12960","54455","23622","2623006","34242","5991956","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","5","imaqtpie","281491665","14235","36407","19774","2658197","50681","5744146","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","Ninja","212239950","17340","24862","12239","14713963","168643","3698897","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","sodapoppin","197938110","11175","34322","17712","2731773","35825","4332720","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","BeyondTheSummit","180574260","12615","68220","14313","912116","11227","4181990","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","nl_Kripp","174918360","10290","50283","16998","1374528","15982","2392798","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","TwitchPresents","170489940","35730","12288","4771","859235","20111","6118089","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1e022cb-4608-4487-bd28-d5ff1537f875-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","DreamLeague","163597365","44550","147801","3671","349054","14615","3763103","true","false","English","DreamLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","DisguisedToast","159510600","12330","27193","12936","1318483","51659","2618683","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","Riot Games (riotgames)","152667000","1950","155898","78290","4508388","17442","2900733","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cdnthe3rd-profile_image-8246eb11f7f4b215-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","14","CDNThe3rd","139446375","14970","23652","9314","2007726","143677","2116743","true","false","English","CDNThe3rd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/05529c10f7dfbf81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","Trick2g","135600180","22290","16470","6082","1471048","39821","2964608","true","true","English","Trick2g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","풍월량 (hanryang1125)","130396725","12645","18166","10311","479392","14281","2048929","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","TimTheTatman","126833205","10410","22297","12183","4942208","37513","2506592","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/grimmmz-profile_image-b6c4dd27a4b900a3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Grimmmz","124986975","19935","13828","6269","1001144","75965","2236814","true","true","English","Grimmmz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","19","Solary","124943400","37080","15108","3369","481442","13590","2703910","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","SilverName","123776880","9735","25141","12714","594312","13450","2729732","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","21","YoDa","118627500","9900","41115","11982","1720072","37516","3498591","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/60a9af72-16a6-40d5-8922-6c181bc3e16d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","aimbotcalvin","114719220","16395","14500","6996","686588","38935","1668444","true","false","English","aimbotcalvin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","Thijs","110555970","8040","32490","13750","750861","17840","1783793","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/860872b2-2b1d-4437-9998-596514c8bcca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","DreamHackDota2_RU","110046795","2085","102280","52779","203419","13229","2332398","true","false","Russian","DreamHackDota2_RU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","sneakylol","107901270","8505","24605","12686","1637232","25935","1955626","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e1f4020d-4c1d-4479-8e1a-09f0f68743bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","VaporaDark","107749425","41385","7551","2603","96810","4643","4470634","true","false","English","VaporaDark"
"https://static-cdn.jtvnw.net/jtv_user_pictures/aphromoo-profile_image-69fa0fbba2928bcf-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","Aphromoo","105983340","14160","16582","7484","769436","38410","2101120","true","false","English","Aphromoo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","CohhCarnage","101329845","11835","25193","8561","1243919","7333","2190222","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e38c722d-e0d0-414c-9a5c-d8a2c4943d2d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","29","armateam","97392255","44085","9128","2208","186832","3617","1705560","true","false","French","armateam"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","MOONMOON","94283790","12840","14415","7342","896184","12349","1525200","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ce51a4e2-ed9a-41db-add1-38eaa8e830b4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","Call of Duty (callofduty)","88131390","2505","101081","35181","963655","28580","1669000","true","true","English","Call of Duty (callofduty)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","32","Savjz","87449670","8445","21112","10354","541498","10641","1468505","true","true","English","Savjz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6adc9261-650e-41e7-8ce5-954aea4a399c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","33","singsing","86770635","12900","13944","6725","570204","9570","1537345","true","true","English","singsing"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e87a0ccf-dabc-41e9-80a3-56c41d4a5455-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","DreadzTV","85747830","5220","31772","16426","664876","9140","2573956","true","true","Russian","DreadzTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1fb918ba71519c23-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","35","livekiss","84051900","44295","7056","1897","31155","2119","514755","true","false","Chinese","livekiss"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dogdog-profile_image-5550ade194780dfc-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","36","dogdog","83983260","7170","23966","11712","590505","14006","1134912","true","false","English","dogdog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ybicanoooobov-profile_image-841fca9b492bd5d5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","37","ybicanoooobov","83863800","11010","13912","7616","508166","7971","1269776","true","false","Russian","ybicanoooobov"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9807cf14-750b-4578-b26b-eed443f72a50-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","AdmiralBahroo","83092380","14880","16015","5583","770646","12983","996685","true","false","English","AdmiralBahroo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5e484bc2-b4cc-4c1e-9a5c-76e572a4c24b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","TSM_Viss","82271265","17925","11286","4589","761126","42672","1936186","true","false","English","TSM_Viss"
"https://static-cdn.jtvnw.net/jtv_user_pictures/zizaran-profile_image-d534b9791c469a48-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","Zizaran","81665865","22845","13822","3574","361197","10154","1289411","true","false","English","Zizaran"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c1276a2-6cb5-4ae1-a4ca-268c1732ec0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","DreamHackCS","81357990","42150","106534","1929","1784763","10614","2868077","true","false","English","DreamHackCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","Amaz","78349380","8025","24233","9762","922036","5721","1327956","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/axtlol-profile_image-97bf65050bc4cb87-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","43","aXtLOL","76308120","11190","12970","6818","749614","29513","2180043","true","false","Portuguese","aXtLOL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c8e83f7-8241-47ce-abbd-438075e95ad4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","44","Quin69","71223600","16605","8467","4288","518550","7772","1411187","true","true","English","Quin69"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","DrDisrespect","71116680","2475","45333","28733","4422124","63424","1995152","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","46","forsen","68093580","9570","20976","7114","1292057","16537","1649754","true","true","English","forsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","47","xQcOW","67575615","12075","13669","5595","3058233","41934","1460917","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/admiralbulldog-profile_image-888d5b80958e636f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","48","AdmiralBulldog","66961665","8775","14486","7630","680549","9023","1353396","true","true","English","AdmiralBulldog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","49","Dyrus","66686730","13785","13797","4837","1473735","18600","1549727","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/078f6369-0a03-4fed-ac32-9b541d8fa25f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","50","StarLadder1","66476160","4905","48380","13552","573963","6197","3253380","true","false","Russian","StarLadder1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/daebf3b9-203e-4c1c-9ac5-0e8bf445be86-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","51","CapcomFighters","66020895","1740","99717","37942","340498","7270","3427251","true","false","English","CapcomFighters"
"https://static-cdn.jtvnw.net/jtv_user_pictures/taketv-profile_image-b7ac7958dadeb6a4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","52","TaKeTV","65432745","9600","32814","6815","228456","13128","1560672","true","false","German","TaKeTV"
