"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/eleaguetv-profile_image-3944326c25ed471d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","ELEAGUE TV (eleaguetv)","2018680440","6015","957687","335607","1655110","545471","32089742","true","false","English","ELEAGUE TV (eleaguetv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","GamesDoneQuick","1316717700","9540","246264","138020","1693458","127181","14518623","true","false","English","GamesDoneQuick"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89483edd-c436-4ec8-a806-cf5fff07b889-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","StarLadder5","430590915","14970","163944","28763","1029203","76788","8473719","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","4","imaqtpie","399321825","15435","49552","25870","2658197","59503","7719306","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","summit1g","388193370","19950","52959","19457","5355651","80794","7281088","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","LIRIK","289443855","10050","67820","28799","2623006","27612","4946969","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","LCS","286397220","2745","252908","104333","1027667","59762","4489225","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/doublelift-profile_image-3cd6f7042b23a619-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Doublelift","224010225","12330","36206","18167","1386249","46773","4720567","true","false","English","Doublelift"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","LEC","209412300","2955","169642","70866","865610","46980","7737667","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","sodapoppin","204376680","11220","54968","18214","2731773","25129","3622140","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/078f6369-0a03-4fed-ac32-9b541d8fa25f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","StarLadder1","199725165","14760","113345","13531","573963","14799","8942672","true","false","Russian","StarLadder1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","EclypsiaTVLoL","165006210","41025","15816","4021","204146","13530","3649131","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","nl_Kripp","152457330","9885","29520","15422","1374528","10336","2227376","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","14","TimTheTatman","144175920","10290","27901","14010","4942208","41681","2360924","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8991c9ff-92c6-48fa-8ccb-8bf1b8673caf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","OGADotaPIT","143820255","2820","99800","50999","137864","8244","3702423","true","false","English","OGADotaPIT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94784297-9634-41c4-848c-a359e9dca7d8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","SmiteGame","138379260","4350","86714","31810","512939","40854","4679774","true","false","English","SmiteGame"
"https://static-cdn.jtvnw.net/jtv_user_pictures/52ef5525-b19f-44f1-b342-2a7e33c45cc3-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","ESL_DOTA2","136246950","14445","109729","9431","334749","18720","4053944","true","false","English","ESL_DOTA2"
