"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/2149a3dc-0507-4ce8-9048-0b33e57dbece-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","PGL","1633980480","6915","665974","236294","752022","490768","27672432","true","false","English","PGL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","GamesDoneQuick","1251120870","11265","216512","111062","1693458","151220","23159869","true","false","English","GamesDoneQuick"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","3","ESL_CSGO","506404920","43800","331790","11561","3940681","155341","10518871","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89483edd-c436-4ec8-a806-cf5fff07b889-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","StarLadder5","384478185","14565","188504","26396","1029203","93612","7750914","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","summit1g","364830855","15735","44066","23185","5355651","91137","6772883","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","LIRIK","319308540","13905","47333","22963","2623006","48532","5222307","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","LCS","269996115","5595","145538","48256","1027667","44227","4886825","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55949a07-d9e4-4b1e-84f7-6ec129f193ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","IzakOOO","225031905","11085","105566","20300","1442268","48719","5298263","true","false","Polish","IzakOOO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/grimmmz-profile_image-b6c4dd27a4b900a3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","Grimmmz","215572740","17880","24758","12056","1001144","119891","3592248","true","true","English","Grimmmz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","sodapoppin","207214125","11865","30820","17463","2731773","39250","4245846","true","true","English","sodapoppin"
