"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Dota2RuHub","495686520","15600","149627","31774","736932","30718","11682941","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","LCS","392664825","5775","180760","67993","1027667","55353","6980860","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3","BeyondTheSummit","347579025","17115","79861","20307","912116","23117","7173878","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","summit1g","296749545","18795","33767","15788","5355651","36850","6265737","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","LIRIK","291236880","12030","76909","24208","2623006","22325","5665931","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","imaqtpie","244781985","13065","77495","18735","2658197","41006","5407354","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","7","YoDa","244080720","14370","30143","16984","1720072","46828","5711801","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27bfa19d-e9ab-4d31-bff5-eea89e47a3df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Twitch","223263480","7080","278035","31533","1186397","82828","14503019","true","false","English","Twitch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","LEC","213409875","5475","105526","38978","865610","35384","4528545","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2149a3dc-0507-4ce8-9048-0b33e57dbece-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","PGL","193640085","9120","107587","21231","752022","65556","6680035","true","false","English","PGL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","RocketLeague","174364275","3630","197365","48033","1341468","104664","4410007","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/epicenter_en1-profile_image-08e33d99a5945b3c-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","epicenter_en1","174216030","7755","154368","22464","415106","26168","4518170","true","false","English","epicenter_en1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","DrDisrespect","170792670","9225","32932","18513","4422124","86435","3686634","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/grimmmz-profile_image-b6c4dd27a4b900a3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","Grimmmz","159030315","18885","17831","8420","1001144","93809","2705241","true","true","English","Grimmmz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","sodapoppin","149043555","9000","27499","16560","2731773","16437","2993742","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4dcfca5f-b334-4a03-a273-29f865c9ee90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","LCK","138952905","7800","78313","17813","843848","28171","2743362","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","TimTheTatman","135560475","10410","21773","13021","4942208","50834","2365679","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/garenatw-profile_image-85f32c0eaad8b48e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","GarenaTW","135491010","5745","62300","23583","404698","7882","2800317","true","false","Chinese","GarenaTW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ogn_lol-profile_image-ec836b5e1fbf833f-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","OGN_LoL","128751210","7740","48120","16634","152311","14882","4348453","true","false","Korean","OGN_LoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af5dbb85-66e4-405b-bf66-9e9242254030-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","Heroes of the Storm (blizzheroes)","123083820","8640","49346","14245","329611","12023","2927746","true","false","English","Heroes of the Storm (blizzheroes)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c1276a2-6cb5-4ae1-a4ca-268c1732ec0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","DreamHackCS","120209595","4335","182652","27729","1784763","25373","3036660","true","false","English","DreamHackCS"
