"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","summit1g","528920775","20610","60204","25662","5355651","82737","8430235","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","TwitchPresents","446211495","20280","65054","22002","859235","154344","12824827","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","LCS","404959335","5910","196148","68520","1027667","40094","6598155","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","4","ESL_CSGO","397474350","42825","355717","9280","3940681","74226","10773656","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","Dota2RuHub","378747210","17745","149888","21343","736932","25717","8713111","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","LIRIK","330806970","11010","47242","30045","2623006","29194","5344802","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","7","imaqtpie","288602550","15870","32478","18184","2658197","34796","5433491","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","BeyondTheSummit","264490935","18975","58925","13938","912116","24162","6918363","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","LEC","227770860","6630","90373","34354","865610","25333","5404004","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7679c01d-d1c2-4d32-af0b-d4d84ea22d89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","PlayHearthstone","190947750","4140","173145","46122","828604","36957","5284802","true","false","English","PlayHearthstone"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4dcfca5f-b334-4a03-a273-29f865c9ee90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","LCK","161387895","8355","97847","19315","843848","24432","4247505","true","false","English","LCK"
