"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Riot Games (riotgames)","599905890","5790","327663","103610","4508388","69210","10972629","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","summit1g","477519210","20760","59726","23001","5355651","73184","8544476","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","LIRIK","355767630","10260","66161","34674","2623006","35268","6165741","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","4","imaqtpie","315648810","15330","47469","20589","2658197","51374","6224483","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","5","YoDa","228560580","12225","35161","18695","1720072","58701","5482245","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7679c01d-d1c2-4d32-af0b-d4d84ea22d89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","PlayHearthstone","183660750","9585","59531","19160","828604","18680","3163370","true","false","English","PlayHearthstone"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","7","ESL_CSGO","169686735","44565","139504","3807","3940681","41228","5361598","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Dota2RuHub","161518425","13680","81211","11806","736932","13389","5074163","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","nl_Kripp","144441795","9870","29827","14634","1374528","12242","2050253","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/620ed0d0daeb809a-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","TheMastersGG","143480325","3435","129686","41769","37764","37572","3602101","false","false","English","TheMastersGG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","DrDisrespect","134689905","9180","33612","14671","4422124","82819","3057821","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","CohhCarnage","134589885","12750","24286","10555","1243919","22190","2237414","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","Nightblue3","127953870","8190","31576","15622","2639859","34756","2949483","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e38c722d-e0d0-414c-9a5c-d8a2c4943d2d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","14","armateam","124556190","44595","13287","2792","186832","5236","2107457","true","false","French","armateam"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","sneakylol","122165925","9900","26874","12339","1637232","16842","2133883","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","DisguisedToast","121294410","15300","20619","7927","1318483","23352","1524438","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1e022cb-4608-4487-bd28-d5ff1537f875-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","DreamLeague","119809350","27720","39844","4321","349054","11553","3355145","true","false","English","DreamLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","TimTheTatman","119794515","10410","27937","11507","4942208","39362","2127723","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df2421a80a889f27-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","19","EclypsiaTVLoL","118879740","43965","13759","2703","204146","8702","2992025","true","false","French","EclypsiaTVLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","Savjz","115662240","9705","28750","11917","541498","18026","1709945","true","true","English","Savjz"
