"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","shroud","413030550","16185","56004","25518","7069584","165876","9690449","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","2","imaqtpie","370409025","14880","71096","24892","2658197","64884","7310670","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","LIRIK","299403405","12525","51606","23903","2623006","84630","5736591","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","summit1g","288300390","15780","43506","18269","5355651","83034","5719617","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","sodapoppin","284541690","12285","54635","23161","2731773","38781","4855102","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","ESL_CSGO","261235545","43155","222404","6052","3940681","47219","7148315","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","sneakylol","210372855","13440","28863","15652","1637232","44670","3507659","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","DrDisrespect","208896600","6795","58033","30742","4422124","196763","5331807","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1e022cb-4608-4487-bd28-d5ff1537f875-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","DreamLeague","193689930","42405","78355","4567","349054","19757","5010695","true","false","English","DreamLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Solary","189907020","35565","30712","5339","481442","39219","4343370","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/397c5a92be032502-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","PlayOverwatch","167569380","1710","223357","97993","487281","72620","3430267","true","false","English","PlayOverwatch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","YoDa","166149195","14520","29029","11442","1720072","38512","4471204","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","Dota2RuHub","161037240","17220","74965","9351","736932","11638","5136889","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","RocketLeague","159602685","3060","175956","52157","1341468","40983","6103950","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","TwitchPresents","154185045","13110","32116","11760","859235","23800","5847264","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/moonducktv-profile_image-949c134b00f9b6ed-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","moonduckTV","144321045","14520","54318","9938","162189","25346","2860659","true","false","English","moonduckTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","BeyondTheSummit","136198695","18420","53817","7393","912116","11219","3674102","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/doublelift-profile_image-3cd6f7042b23a619-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Doublelift","136158630","8490","27363","16037","1386249","36534","2764654","true","false","English","Doublelift"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","19","TimTheTatman","132324285","10245","24077","12915","4942208","38569","2748211","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","풍월량 (hanryang1125)","131200950","11010","41363","11916","479392","23417","2212144","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e1f4020d-4c1d-4479-8e1a-09f0f68743bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","VaporaDark","129401685","40200","10675","3218","96810","6128","8537153","true","false","English","VaporaDark"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","SilverName","118469595","10485","29303","11298","594312","14480","2701231","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32b68813-ea70-43bf-a8e4-a55f3096f408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","DansGaming","118073505","30360","13051","3888","813016","5623","1740709","true","false","English","DansGaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/grimmmz-profile_image-b6c4dd27a4b900a3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","Grimmmz","112838070","18705","14087","6032","1001144","64463","1637625","true","true","English","Grimmmz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","Riot Games (riotgames)","109152585","1710","484486","63831","4508388","25567","3004699","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8991c9ff-92c6-48fa-8ccb-8bf1b8673caf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","OGADotaPIT","102306990","2565","96681","39885","137864","12822","1569635","true","false","English","OGADotaPIT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","Ninja","100636005","16290","22056","6177","14713963","69333","1959064","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/860872b2-2b1d-4437-9998-596514c8bcca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","DreamHackDota2_RU","98280090","5055","94264","19441","203419","19066","3107716","true","false","Russian","DreamHackDota2_RU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/60a9af72-16a6-40d5-8922-6c181bc3e16d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","29","aimbotcalvin","96131280","13560","14000","7088","686588","33655","1481418","true","false","English","aimbotcalvin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cdnthe3rd-profile_image-8246eb11f7f4b215-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","CDNThe3rd","94393065","14895","17228","6336","2007726","91040","1247791","true","false","English","CDNThe3rd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","MOONMOON","92922720","10590","19437","8774","896184","16298","1507610","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/shiphtur-profile_image-e1da4894d17f08cd-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","32","Shiphtur","92658525","14190","19388","6529","707252","35313","2127962","true","false","English","Shiphtur"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ybicanoooobov-profile_image-841fca9b492bd5d5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","33","ybicanoooobov","91338315","11655","18782","7836","508166","9733","1439559","true","false","Russian","ybicanoooobov"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","nl_Kripp","90469215","7470","26888","12110","1374528","7551","1327954","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/axtlol-profile_image-97bf65050bc4cb87-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","aXtLOL","88613985","11610","16518","7632","749614","25146","2013835","true","false","Portuguese","aXtLOL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","CohhCarnage","88192920","10455","17894","8434","1243919","5189","1814245","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","Asmongold","85195395","7890","29576","10797","1438995","27022","1768458","true","false","English","Asmongold"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c8e83f7-8241-47ce-abbd-438075e95ad4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","Quin69","85092075","18225","13163","4668","518550","10226","1672339","true","true","English","Quin69"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b2eb8a23-d6ad-45aa-bd8e-062133b64452-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","Faker","84884730","2325","66716","36508","2537683","76421","2802468","true","false","Korean","Faker"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","40","DisguisedToast","84726585","10845","16844","7812","1318483","22250","1451031","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","Thijs","84638325","8790","18899","9628","750861","10739","1321094","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","42","Castro_1021","84417000","7125","28353","11847","2386094","18094","1274574","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/078f6369-0a03-4fed-ac32-9b541d8fa25f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","43","StarLadder1","82887570","7770","124885","10667","573963","10332","6073758","true","false","Russian","StarLadder1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/admiralbulldog-profile_image-888d5b80958e636f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","44","AdmiralBulldog","82061355","9600","15649","8547","680549","6732","1532490","true","true","English","AdmiralBulldog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/05529c10f7dfbf81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","Trick2g","80574015","18435","14212","4370","1471048","19918","1487856","true","true","English","Trick2g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e38c722d-e0d0-414c-9a5c-d8a2c4943d2d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","46","armateam","78038550","42960","8243","1815","186832","3119","1945151","true","false","French","armateam"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","47","Dyrus","77857635","10530","18262","7393","1473735","15187","1764725","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9807cf14-750b-4578-b26b-eed443f72a50-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","48","AdmiralBahroo","77351670","15345","11696","5040","770646","7375","910560","true","false","English","AdmiralBahroo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","49","Savjz","77136465","7920","17907","9739","541498","9116","1300937","true","true","English","Savjz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2611c0d82411af6f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","50","dotapit_ru","76639635","2490","74546","30778","26205","15571","1660440","true","false","Russian","dotapit_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94784297-9634-41c4-848c-a359e9dca7d8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","51","SmiteGame","71625030","35100","20947","2040","512939","8429","1559755","true","false","English","SmiteGame"
"https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","52","forsen","71368845","8340","19047","8556","1292057","27421","1785136","true","true","English","forsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8d288802-0f05-4496-b69d-b927fee689d6-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","53","PGL_Dota","71229840","4305","34434","16545","58525","6935","2479974","true","false","English","PGL_Dota"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gronkh-profile_image-76b34139eaa46bb5-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","54","GRONKH","70298070","4485","26699","15673","1186695","11229","1411974","true","false","German","GRONKH"
"https://static-cdn.jtvnw.net/jtv_user_pictures/64c0eaed-eb9c-4fbd-8a92-86508b4caa4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","55","Nick28T","65596050","12375","14249","5300","973584","7957","779412","true","true","English","Nick28T"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8595c35b-25f4-465c-83c7-8eb38aa94a5b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","56","Magic","64605780","13485","31085","4790","363613","4955","1424360","true","false","English","Magic"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55949a07-d9e4-4b1e-84f7-6ec129f193ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","57","IzakOOO","63395025","11760","20348","5390","1442268","8698","2142693","true","false","Polish","IzakOOO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e87a0ccf-dabc-41e9-80a3-56c41d4a5455-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","58","DreadzTV","63241695","4305","26551","14689","664876","7215","2222867","true","true","Russian","DreadzTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af40d3c1-0dee-4af5-a431-468a6fc4280f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","59","JoshOG","63070185","12990","11537","4854","1750433","9366","1195536","true","false","English","JoshOG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/tsm_bjergsen-profile_image-ba41a683271a8848-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","TSM_Bjergsen","63054780","3075","39507","20505","1482110","29553","1317247","true","false","English","TSM_Bjergsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6adc9261-650e-41e7-8ce5-954aea4a399c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","61","singsing","61203405","11850","11523","5164","570204","5818","1103652","true","true","English","singsing"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stray228-profile_image-ceb0393a88eb8286-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","62","Stray228","60396480","7980","12954","7568","740217","9489","1144657","true","false","Russian","Stray228"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","63","xQcOW","60347565","11580","9978","5210","3058233","43742","1324824","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dbb514f1-469b-479e-b5ba-3ac0f09a2776-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","64","얍얍 (yapyap30)","59014800","10650","21893","5540","293723","11432","1356536","true","false","Korean","얍얍 (yapyap30)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89483edd-c436-4ec8-a806-cf5fff07b889-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","65","StarLadder5","57460755","8040","33358","7146","1029203","7023","2690699","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/072ae501-db8f-475b-8f99-02579d468414-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","66","trihex","57206250","20385","19449","2805","428555","22433","1113138","true","true","English","trihex"
