"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Riot Games (riotgames)","1105995360","11775","391952","93926","4508388","123948","19001786","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","shroud","530198205","18075","60509","29332","7069584","220551","10599431","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","LIRIK","319704855","14460","44167","22109","2623006","24682","5884300","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32b68813-ea70-43bf-a8e4-a55f3096f408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","DansGaming","291635415","31800","37325","9170","813016","27626","5352883","true","false","English","DansGaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","summit1g","289765890","15045","45410","19259","5355651","64360","5938884","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/epicenter_en1-profile_image-08e33d99a5945b3c-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","epicenter_en1","275055300","10545","274033","26083","415106","90373","6177218","true","false","English","epicenter_en1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","7","imaqtpie","271741425","13110","33427","20727","2658197","47230","5504371","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","TwitchPresents","251484405","17025","43545","14770","859235","75223","12058252","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/garenatw-profile_image-85f32c0eaad8b48e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9","GarenaTW","194952465","5145","98466","37891","404698","10947","3470500","true","false","Chinese","GarenaTW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","OgamingLoL","188498130","44490","60388","4236","506290","16047","5534425","true","false","French","OgamingLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","CohhCarnage","175089030","12900","33564","13572","1243919","19159","3034457","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ogn_lol-profile_image-ec836b5e1fbf833f-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","OGN_LoL","171567600","5190","96519","33056","152311","22023","4447136","true","false","Korean","OGN_LoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","DrDisrespect","169338990","7125","45879","23766","4422124","173566","4257058","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/52ef5525-b19f-44f1-b342-2a7e33c45cc3-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","14","ESL_DOTA2","158969160","36735","115248","4326","334749","39561","3202322","true","false","English","ESL_DOTA2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","Castro_1021","147149265","11985","26731","12277","2386094","27214","1850603","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","sodapoppin","143311440","7125","42496","20113","2731773","30972","2698883","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","RocketLeague","141408525","3645","80853","38794","1341468","36849","4741961","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7679c01d-d1c2-4d32-af0b-d4d84ea22d89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","PlayHearthstone","137841180","6345","109654","21723","828604","22115","4857842","true","false","English","PlayHearthstone"
"https://static-cdn.jtvnw.net/jtv_user_pictures/86ee103136bf621e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","epicenter_ru","130186020","8940","103302","14561","180135","45260","5050921","true","false","Russian","epicenter_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/reckful-profile_image-b22e4d39d3d6e045-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","Reckful","123836550","6720","55178","18427","923809","35850","2343419","true","false","English","Reckful"
"https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","LVPes","122712810","13545","59328","9059","560060","23377","3146741","true","false","Spanish","LVPes"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4d03172966595b95-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","esl_ruhub_dota2","118226235","2415","138523","48954","103642","20115","2128675","true","false","Russian","esl_ruhub_dota2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","23","TimTheTatman","117510390","9945","21529","11815","4942208","35905","2498064","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","Ninja","112486995","20445","14372","5501","14713963","65664","2280673","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/078f6369-0a03-4fed-ac32-9b541d8fa25f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","StarLadder1","109239780","7740","111165","14113","573963","10479","5157023","true","false","Russian","StarLadder1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","SilverName","109149225","8730","21133","12502","594312","13772","2405336","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","nl_Kripp","108943410","8730","25781","12478","1374528","9997","1555116","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/972fe1f486e6a958-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","SummonersInnLive","108752595","16770","39664","6484","499643","11852","4964933","true","false","German","SummonersInnLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","MOONMOON","102604740","13395","14891","7659","896184","16788","1573741","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","forsen","102153345","11100","28322","9202","1292057","52556","2365712","true","true","English","forsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","31","DisguisedToast","100035795","12210","18469","8192","1318483","19963","1465765","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fd957ece-6214-476a-a6ee-483c20739107-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","dotastarladder_en","98944020","2535","87619","39030","268191","11484","1842344","true","false","English","dotastarladder_en"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8d288802-0f05-4496-b69d-b927fee689d6-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","33","PGL_Dota","98830905","2565","75669","38530","58525","14425","2731602","true","false","English","PGL_Dota"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","34","풍월량 (hanryang1125)","92267925","11475","16474","8040","479392","13200","1721960","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e38c722d-e0d0-414c-9a5c-d8a2c4943d2d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","35","armateam","91418865","44490","10495","2054","186832","5598","1856863","true","false","French","armateam"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9807cf14-750b-4578-b26b-eed443f72a50-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","AdmiralBahroo","88976805","17085","14286","5207","770646","21302","1068072","true","false","English","AdmiralBahroo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/axtlol-profile_image-97bf65050bc4cb87-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","aXtLOL","88941405","10725","17688","8292","749614","26841","2029604","true","false","Portuguese","aXtLOL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","Amaz","84336765","9615","20310","8770","922036","5861","1408320","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","Dyrus","83756280","10935","17214","7659","1473735","14919","1741133","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","40","YoDa","83088720","7170","68047","11588","1720072","28836","2771137","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/64c0eaed-eb9c-4fbd-8a92-86508b4caa4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","Nick28T","82932795","14760","10554","5618","973584","11922","890433","true","true","English","Nick28T"
"https://static-cdn.jtvnw.net/jtv_user_pictures/shiphtur-profile_image-e1da4894d17f08cd-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","42","Shiphtur","80353140","14220","14712","5650","707252","32776","1781893","true","false","English","Shiphtur"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","43","Thijs","77255550","7980","17124","9680","750861","10766","1329889","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","44","Savjz","76969620","9495","16341","8105","541498","7969","1333983","true","true","English","Savjz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/979e9e07-675a-473d-b580-e756f0239adf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","RiotGamesBrazil","76678245","11145","28671","6879","926698","12759","2075425","true","false","Portuguese","RiotGamesBrazil"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gronkh-profile_image-76b34139eaa46bb5-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","46","GRONKH","74437860","4200","42047","17722","1186695","13950","1487699","true","false","German","GRONKH"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ybicanoooobov-profile_image-841fca9b492bd5d5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","47","ybicanoooobov","73238925","10860","12193","6743","508166","7461","1052375","true","false","Russian","ybicanoooobov"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3c90a8f21a6de9fd-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","48","azartslot","70780305","44460","2475","1591","13992","875","57376","false","false","Russian","azartslot"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af40d3c1-0dee-4af5-a431-468a6fc4280f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","49","JoshOG","70487220","13680","13182","5152","1750433","12583","1323388","true","false","English","JoshOG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","50","Dota2RuHub","70224960","5145","74875","13648","736932","5191","1942800","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","51","Nightblue3","68460390","5175","22065","13228","2639859","22070","1795224","true","false","English","Nightblue3"
