"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","shroud","514460085","17865","47928","28796","7069584","204735","9030512","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","summit1g","379152360","19530","44178","19413","5355651","69887","6592059","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","LIRIK","320159745","13905","44494","23024","2623006","28876","5402778","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Riot Games (riotgames)","303325875","5565","170252","54505","4508388","63843","5697033","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c1276a2-6cb5-4ae1-a4ca-268c1732ec0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","DreamHackCS","279373830","42375","194605","6592","1784763","53241","6530955","true","false","English","DreamHackCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","imaqtpie","251184675","13755","43694","18260","2658197","47932","5066371","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","RocketLeague","212915910","5370","82198","39648","1341468","111761","6727168","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/79ba893e-06e7-4696-831b-1f9976a0eba2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","KingGothalion","171691815","13875","86070","12373","1015521","47448","2183008","true","false","English","KingGothalion"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","sodapoppin","163431330","9630","42145","16970","2731773","26831","3067812","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","LCS","161373840","1560","279325","103444","1027667","22811","2191290","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","11","ESL_CSGO","158540205","37995","193665","4172","3940681","35663","5136514","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","DrDisrespect","155155965","7485","33762","20728","4422124","86030","3721833","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","CohhCarnage","138057195","14430","19806","9566","1243919","11624","2052578","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","SilverName","137641335","9000","24460","15292","594312","18931","2804340","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","DisguisedToast","133400400","14340","19403","9302","1318483","27686","1749103","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7679c01d-d1c2-4d32-af0b-d4d84ea22d89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","PlayHearthstone","128672250","5355","58087","24027","828604","16923","2703348","true","false","English","PlayHearthstone"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","TimTheTatman","122517270","10395","24519","11785","4942208","42867","2381450","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dogdog-profile_image-5550ade194780dfc-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","dogdog","118514565","11085","18818","10690","590505","20849","1590788","true","false","English","dogdog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","Dota2RuHub","116556960","10695","71791","10897","736932","11186","3235912","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","Thijs","115579290","10890","18391","10612","750861","18696","2130169","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/078f6369-0a03-4fed-ac32-9b541d8fa25f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","StarLadder1","113005275","10110","82566","11176","573963","16671","6362408","true","false","Russian","StarLadder1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","nl_Kripp","111734115","9375","25366","11917","1374528","11400","1706657","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","LEC","110079180","2865","142497","38421","865610","20506","2055191","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","24","풍월량 (hanryang1125)","103144065","10860","17544","9497","479392","13663","1478376","true","true","Korean","풍월량 (hanryang1125)"
