"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","1840281615","14685","573768","125316","14713963","1708336","42509163","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","OverwatchLeague","665313450","6810","170755","97695","1796619","95901","16482789","true","false","English","OverwatchLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","shroud","512046315","12735","119861","40207","7069584","251993","13034567","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","sodapoppin","355047075","11610","62501","30580","2731773","76080","7355359","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","Riot Games (riotgames)","349196520","7800","326422","44768","4508388","39926","9002188","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","LIRIK","274761750","9600","51969","28620","2623006","21370","6187735","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c1276a2-6cb5-4ae1-a4ca-268c1732ec0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","DreamHackCS","270541470","41640","203933","6496","1784763","62727","9367293","true","false","English","DreamHackCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Myth","269005425","7680","87669","35026","6586173","769610","8767917","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","dakotaz","262992090","11865","75652","22164","4407442","298446","6337964","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","imaqtpie","257772810","13875","33144","18577","2658197","40175","5606346","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dce85723-4eec-4f83-8821-9469e44110e7-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","11","PGL_Dota2","240741585","4080","120852","59004","159181","27280","8856890","true","false","English","PGL_Dota2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","DrLupo","223263765","13005","101026","17167","4022808","521219","5913775","true","false","English","DrLupo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","DrDisrespect","197255760","7860","50850","25095","4422124","125618","5989686","true","false","English","DrDisrespect"
