"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","1221531240","15645","158795","78077","14713963","962092","32217564","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2e0d4551-0137-488f-9abd-554c1fc73f38-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","dota2ti","1070207190","9195","390948","116389","663297","139519","21416083","true","false","English","dota2ti"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7714a7c7-25b9-4a2b-9d45-99cd5554004c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","dota2ti_ru","890807940","7230","321825","123209","541644","121438","16423171","true","false","Russian","dota2ti_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Riot Games (riotgames)","541025550","12255","167311","44146","4508388","46864","11110172","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","sodapoppin","523255590","14595","86572","35851","2731773","83103","10060903","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","shroud","475707660","17565","86587","27082","7069584","273773","14878717","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","Tfue","374631510","9555","109062","39207","8507016","563199","9000968","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","dakotaz","306274800","14085","52090","21744","4407442","296488","5941738","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9","TimTheTatman","272238240","12165","52625","22378","4942208","239978","6009570","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","TSM_Daequan","248373585","8475","57639","29306","3776528","419834","5176930","true","true","English","TSM_Daequan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a8eb6f2-823b-403c-b90e-20829ddf6517-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","Fortnite","243969165","2760","260652","88394","3104437","329809","7888498","true","false","English","Fortnite"
