"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","503593245","11445","182295","44000","14713963","351602","16674957","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","shroud","485474955","17100","100950","28389","7069584","179715","14044171","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","Tfue","474700710","10545","75250","45016","8507016","403314","10355357","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/db623728431d29c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Yogscast","442565265","43950","60626","10069","961341","37755","9601519","true","false","English","Yogscast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","summit1g","371552115","19200","63792","19351","5355651","49253","6423707","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","sodapoppin","282737580","10590","90203","26698","2731773","40964","5018428","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","LIRIK","271364370","11520","64623","23555","2623018","24931","5630469","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","NICKMERCS","270892800","11235","49620","24111","3658069","144432","4173463","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","dakotaz","249532740","12240","113990","20386","4407442","147149","4153660","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","xQcOW","242112675","16965","30162","14270","3058233","71780","4576876","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","forsen","241024275","14520","80860","16599","1292053","42593","4294368","true","true","English","forsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/71dddfa0-2a85-45e4-af51-99fec824965f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","ZeRo","228691245","22530","25183","10149","520761","171304","3436606","true","false","English","ZeRo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","13","TimTheTatman","220217700","8595","57253","25621","4942208","120397","3991629","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","TSM_Daequan","197902740","9120","45994","21699","3776528","158010","3098287","true","true","English","TSM_Daequan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","DrLupo","173920095","13785","59978","12616","4023082","133638","4171551","true","false","English","DrLupo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","BeyondTheSummit","173795595","44595","35719","3896","912157","9809","3697539","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","nl_Kripp","162927600","11925","60838","13662","1374530","10503","2502995","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/zizaran-profile_image-d534b9791c469a48-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Zizaran","159450315","27525","14434","5792","361207","23939","2289393","true","false","English","Zizaran"
"https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","Asmongold","157038390","6585","49517","23847","1439034","48320","2670857","true","false","English","Asmongold"
"https://static-cdn.jtvnw.net/jtv_user_pictures/320226c6-f422-4baf-8ed2-1be7eb3757e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","cloakzy","154931220","13875","48377","11165","1997964","214553","3718488","true","false","English","cloakzy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1d987a8ba88e252b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","한동숙 (handongsuk)","154473075","17970","16530","8595","370590","16461","2497580","true","false","Korean","한동숙 (handongsuk)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","Thijs","149084055","11340","26198","13146","750861","16365","2429999","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","Riot Games (riotgames)","144660855","2520","148404","57404","4508379","24002","3629290","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9807cf14-750b-4578-b26b-eed443f72a50-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","AdmiralBahroo","143418315","16425","20838","8731","770646","21164","1909551","true","false","English","AdmiralBahroo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","TwitchPresents","142871340","43170","16471","3309","859235","28318","11438025","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","26","풍월량 (hanryang1125)","142201170","12360","21740","11504","479392","8321","2214289","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/646d248d-eed2-4a5d-91fc-9af15a2210c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","EASPORTSFIFA","135954375","2490","123614","54599","1244345","100708","2136665","true","false","English","EASPORTSFIFA"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","MOONMOON","135865665","11775","25726","11537","896184","14156","1731897","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ce51a4e2-ed9a-41db-add1-38eaa8e830b4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","Call of Duty (callofduty)","135805920","1875","191925","72429","963655","65299","2263971","true","true","English","Call of Duty (callofduty)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","CohhCarnage","134177310","10935","45267","12269","1243933","12685","2666031","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","Dota2RuHub","129776070","5535","149874","23446","736949","9367","4491264","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1fb918ba71519c23-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","32","livekiss","129292020","44640","8483","2895","31155","403","501535","true","false","Chinese","livekiss"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dbb514f1-469b-479e-b5ba-3ac0f09a2776-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","33","얍얍 (yapyap30)","126032805","18765","25297","6715","293723","7975","2422360","true","false","Korean","얍얍 (yapyap30)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","34","Castro_1021","125797830","8850","31541","14213","2386117","34397","2035164","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","DrDisrespect","124689750","7575","31371","16460","4422124","65821","3310861","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","36","imaqtpie","122322930","12945","21744","9448","2657967","20962","2765423","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","37","DisguisedToast","119613975","11670","32523","10249","1318483","30705","2610144","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","alanzoka","118918050","7215","47851","16481","3103234","68229","2819777","true","false","Portuguese","alanzoka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e8b0fb0c-8d54-44bc-ab16-259fad61cb4c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","CouRageJD","116343570","9255","44632","12570","2115596","129913","2450688","false","false","English","CouRageJD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stray228-profile_image-ceb0393a88eb8286-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","40","Stray228","116040870","10590","17942","10957","740217","18414","2390902","true","false","Russian","Stray228"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61f85a70-33e9-4144-b08a-bee144d444dc-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","41","MontanaBlack88","113974125","5235","39712","21770","2710523","66557","1712056","true","true","German","MontanaBlack88"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c495b77e-7f47-4bc5-a216-3045d7545796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","Gaules","113097525","39480","47085","2864","1600168","47024","4329834","true","true","Portuguese","Gaules"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","43","Solary","112917195","39570","8994","2853","481444","9659","2774244","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c8e83f7-8241-47ce-abbd-438075e95ad4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","44","Quin69","111297915","19995","12263","5565","518550","9640","1922277","true","true","English","Quin69"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3f9e12fe-9c73-4e74-8d2b-edfa12a5aa40-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","TSM_Hamlinz","104902740","7590","27203","13820","2137521","119030","1475828","true","false","English","TSM_Hamlinz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fbc5661c-7812-4b43-bf5e-16c3ba536d5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","46","Gotaga","104568375","4695","98424","22271","2343659","47643","1963142","true","false","French","Gotaga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/47b55e1d-5140-4b35-a0cc-583ff8a83928-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","47","SolaryFortnite","100276365","24630","28416","4070","1365409","42037","2302992","true","false","French","SolaryFortnite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e87a0ccf-dabc-41e9-80a3-56c41d4a5455-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","48","DreadzTV","97800120","6705","38679","14585","664876","13842","3612325","true","true","Russian","DreadzTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/595a3dc1-b291-4371-ba8f-156420929c9f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","49","SypherPK","97161450","12300","30127","7898","3374022","115829","2451819","true","false","English","SypherPK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","50","YoDa","95941905","5985","32330","16029","1720072","23196","2736926","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","51","서새봄냥 (saddummy)","89946390","15120","13982","5948","566368","17628","2036111","true","false","Korean","서새봄냥 (saddummy)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0b17e4db-d501-4c31-9d24-54da32c495bc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","52","Chap","89177535","18870","15819","4725","1222993","99251","2356526","true","false","English","Chap"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","53","SilverName","88636665","8565","18935","10348","594312","10175","2206847","true","false","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e38c722d-e0d0-414c-9a5c-d8a2c4943d2d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","54","armateam","87408465","43770","9705","1996","186832","2745","1346589","true","false","French","armateam"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ybicanoooobov-profile_image-841fca9b492bd5d5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","55","ybicanoooobov","87207165","10935","16844","7974","508166","10474","1191657","true","false","Russian","ybicanoooobov"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a1cae8bb-ef53-41f0-abb9-89facbaf46c2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","56","HighDistortion","83178585","14730","21279","5646","1671429","70417","1487360","true","false","English","HighDistortion"
"https://static-cdn.jtvnw.net/jtv_user_pictures/admiralbulldog-profile_image-888d5b80958e636f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","57","AdmiralBulldog","83005680","11370","16550","7299","680549","7673","1596083","true","true","English","AdmiralBulldog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec693537-6ed1-41a6-8d7c-63d7b8d0cee8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","58","Rush","82775025","9600","17612","8621","544317","60536","1518226","true","false","English","Rush"
"https://static-cdn.jtvnw.net/jtv_user_pictures/maximilian_dood-profile_image-c6e12e1798861491-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","59","Maximilian_DOOD","82215885","9465","28090","8685","816342","9897","1006147","true","false","English","Maximilian_DOOD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","60","loltyler1","80927385","3795","122864","21324","3378071","28820","1875100","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f03ca1a6-9b96-4296-a50a-c33778238c72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","61","Giantwaffle","78920430","20250","16468","3896","891643","7907","1287114","true","false","English","Giantwaffle"
"https://static-cdn.jtvnw.net/jtv_user_pictures/mathil1-profile_image-39376f797063a87b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","62","Mathil1","78814995","13665","17158","5767","309737","15364","1292190","true","false","English","Mathil1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","63","stylishnoob4","78170475","12705","12595","6152","325657","5320","1235162","true","false","Japanese","stylishnoob4"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","64","sneakylol","77896245","6915","19038","11264","1637232","24567","1567215","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yassuo-profile_image-cfd7ef046e50e94b-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","65","Yassuo","76643115","8175","19646","9374","1836286","57882","2127071","true","false","English","Yassuo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a8eb6f2-823b-403c-b90e-20829ddf6517-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","66","Fortnite","76435470","1260","102932","60662","3104437","59222","1982903","true","false","English","Fortnite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","67","Myth","76132380","9405","34278","8094","6586173","80668","2227130","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a785eaed-43ce-46e3-9138-d9f50c4a1af5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","68","IWillDominate","75675660","13185","13233","5739","782912","12767","1423953","true","false","English","IWillDominate"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cb1dadfb-1f04-452e-b19d-137f973faaa2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","69","PietSmiet","74369640","4650","96767","15992","556925","26760","1134309","true","false","German","PietSmiet"
