"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","829691295","18030","118453","46016","14713963","940407","18028165","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Riot Games (riotgames)","627240630","10440","197451","60080","4508388","65590","13390758","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","OverwatchLeague","544320345","5385","186064","101080","1796619","151677","14859309","true","false","English","OverwatchLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","shroud","381396780","12360","136642","30856","7069584","228629","10921801","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","DrDisrespect","343871115","6765","366298","50830","4422124","356790","10590950","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","Dota2RuHub","308415915","9825","191604","31390","736932","33642","9240726","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","sodapoppin","288213555","14280","47562","20182","2731773","38358","5819654","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89483edd-c436-4ec8-a806-cf5fff07b889-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","StarLadder5","275025120","11595","159963","23718","1029203","28333","10061941","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5da18337-db02-4500-931d-d3ed6ab034f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","StarLadder_cs_en","259626885","9765","150978","26586","823179","77972","7645578","true","false","English","StarLadder_cs_en"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","LIRIK","254881110","9210","54659","27673","2623006","43444","5436042","true","false","English","LIRIK"
