"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/eleaguetv-profile_image-3944326c25ed471d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","ELEAGUE TV (eleaguetv)","2317870215","13455","1065148","172267","1655110","526183","44039236","true","false","English","ELEAGUE TV (eleaguetv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","GamesDoneQuick","1176390090","13905","198710","84601","1693489","126239","19973630","true","false","English","GamesDoneQuick"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","OverwatchLeague","705889590","7140","370799","98863","1796619","555050","19864012","true","false","English","OverwatchLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","loltyler1","678498450","13575","382097","49980","3378071","437309","14892526","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89483edd-c436-4ec8-a806-cf5fff07b889-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","StarLadder5","557467335","9285","151937","60039","1029203","83634","10711869","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","Ninja","519093810","20295","51189","25576","14713963","504936","9131656","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","summit1g","465455130","16395","80187","28389","5355651","200819","10098089","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","shroud","419372895","14250","70003","29429","7069584","272704","11468934","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","Riot Games (riotgames)","344116590","5445","220141","63197","4508402","59155","7124257","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","imaqtpie","260439795","14910","32011","17466","2658197","58993","5949648","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","sodapoppin","249852510","13935","49863","17929","2731773","48305","5184504","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","LIRIK","232015170","8370","72461","27719","2622963","24778","4731580","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","13","Solary","194519280","41325","34168","4706","481435","17088","3740667","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","Dota2RuHub","189161880","13455","90914","14058","736863","17021","5612552","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","YoDa","184107660","13965","26299","13182","1720072","62199","5461539","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/592a35d9-6b8d-4d8f-9fcd-c81cbe861556-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","JTGTV","174195420","12870","40289","13534","384363","92989","8794026","true","true","Turkish","JTGTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","DisguisedToast","162239820","12060","31362","13452","1318483","90154","3562530","false","false","English","DisguisedToast"
