"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","1281224460","12915","215001","99203","14713963","1000955","31544678","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Tfue","497389635","11610","141389","42840","8507016","769301","11398086","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","Myth","492668415","17565","120746","28047","6586173","581575","12080681","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Riot Games (riotgames)","491577960","11205","124408","43870","4508388","38510","9970205","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","shroud","464349255","14055","132412","33037","7069584","277398","14124080","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","dakotaz","322950345","12825","57828","25180","4407442","263607","6091993","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","NICKMERCS","319292535","12915","130956","24722","3657193","226924","4514816","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","BeyondTheSummit","289251900","44550","82013","6492","912116","24627","5124785","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","TSM_Daequan","270239565","9090","101612","29728","3776528","449701","5902887","true","true","English","TSM_Daequan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","TimTheTatman","265090560","9375","80007","28275","4942208","232547","5480677","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","sodapoppin","233695125","9465","61287","24689","2731773","38385","5687272","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eleaguetv-profile_image-3944326c25ed471d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","ELEAGUE TV (eleaguetv)","224008215","3555","157555","63011","1655110","37994","6738460","true","false","English","ELEAGUE TV (eleaguetv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","OverwatchLeague","214392225","2100","306175","102090","1796619","60060","10521284","true","false","English","OverwatchLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/768a63fc-5b33-4106-aebd-8e8f32729bd0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","LCK_Korea","206681340","9225","55331","22404","576376","21003","8657339","true","false","Korean","LCK_Korea"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","YoDa","205542195","14595","26620","14082","1720072","48138","6030937","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","summit1g","203378760","14385","30941","14137","5355651","25864","5066362","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","xQcOW","201987075","20910","17464","9659","3058233","67200","4129862","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","LIRIK","192348825","9180","42947","20952","2623006","9821","4301790","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/47b55e1d-5140-4b35-a0cc-583ff8a83928-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","19","SolaryFortnite","190457415","43965","42311","4331","1365379","65087","3204370","true","false","French","SolaryFortnite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af5dbb85-66e4-405b-bf66-9e9242254030-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","Heroes of the Storm (blizzheroes)","189653940","21750","31315","8719","329611","10383","6468321","true","false","English","Heroes of the Storm (blizzheroes)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/57f777b3-9a95-48aa-8b67-72d7a067352e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","GCXEvent","187867620","11670","197675","16097","229093","104072","7422900","true","false","English","GCXEvent"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","TwitchPresents","187033335","44580","15584","4194","859235","17368","12035584","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/244463da-416b-41e0-8c78-6555bb1f7d01-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","playBATTLEGROUNDS","186680565","2970","184404","62854","696994","390090","15336766","true","false","English","playBATTLEGROUNDS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","DrLupo","185871465","11955","67299","15547","4022808","280669","4518029","true","false","English","DrLupo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","Asmongold","166853085","7965","51596","20947","1438995","59675","2924133","true","false","English","Asmongold"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a8eb6f2-823b-403c-b90e-20829ddf6517-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","Fortnite","160468290","1560","208542","102864","3104437","229072","6829872","true","false","English","Fortnite"
