"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","1564569600","13455","402284","116281","14713963","1067812","36894636","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","GamesDoneQuick","984194580","11580","167660","84990","1693458","78734","20359246","true","false","English","GamesDoneQuick"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","shroud","551395590","13905","102200","39653","7069584","250580","15143529","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4","BeyondTheSummit","490051200","43050","72616","11382","912116","42885","8090834","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","OverwatchLeague","431836320","5100","197147","84673","1796619","51609","16749966","true","false","English","OverwatchLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","dakotaz","393920700","14760","75925","26687","4407442","307682","7542578","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27bfa19d-e9ab-4d31-bff5-eea89e47a3df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","Twitch","333933000","3240","518596","103065","1186397","136215","19840413","true","false","English","Twitch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dce85723-4eec-4f83-8821-9469e44110e7-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","PGL_Dota2","332266425","6300","154887","52740","159181","32790","6934908","true","false","English","PGL_Dota2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","Riot Games (riotgames)","317680875","7710","153914","41203","4508388","26164","7438071","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Myth","300621885","10095","166840","29778","6586173","516765","7911206","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","Tfue","268217040","11220","91548","23904","8507016","515579","6091240","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","sodapoppin","264569175","8970","91226","29494","2731773","52584","6070295","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","TSM_Daequan","262916580","8790","126905","29910","3776528","473130","5870680","true","true","English","TSM_Daequan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","LIRIK","241517490","9090","73865","26568","2623006","15650","4942349","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","Dota2RuHub","240383700","13455","81890","17865","736932","19771","6004853","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5f449d90-818d-4e30-8548-5ffec5f603b6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","PGL_DOTA2RU","207510675","6105","157511","33989","94402","25074","5367743","true","false","Russian","PGL_DOTA2RU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","imaqtpie","206525715","14100","32165","14646","2658197","28844","4737856","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","DrLupo","196632495","12210","71397","16103","4022808","336795","4928758","true","false","English","DrLupo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","TwitchPresents","193494345","43185","22388","4480","859235","40951","12551147","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","summit1g","193019655","11355","36245","16998","5355651","57198","4921441","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fbc5661c-7812-4b43-bf5e-16c3ba536d5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","Gotaga","192915840","7215","237893","26737","2343659","81022","4171346","true","false","French","Gotaga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","TimTheTatman","190857570","8505","54914","22440","4942208","224876","4021838","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8856d45e-c838-45cf-bda3-b9801f2a17e9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","dota2mc_ru","187023255","11325","55775","16513","430560","83579","5323766","true","false","Russian","dota2mc_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","NICKMERCS","185878125","10620","43306","17502","3657193","140288","2614809","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","DrDisrespect","178846500","8190","49192","21836","4422124","115097","5461964","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/47b55e1d-5140-4b35-a0cc-583ff8a83928-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","26","SolaryFortnite","163174830","36345","35483","4489","1365379","65345","3271702","true","false","French","SolaryFortnite"
