"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","1717944615","17805","617767","96486","14713963","2335718","42007099","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","OverwatchLeague","742631805","6960","213278","106699","1796619","116271","18136451","true","false","English","OverwatchLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","Riot Games (riotgames)","699652785","12750","254176","54874","4508388","57674","14802373","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","shroud","528383265","13890","149632","38040","7069584","342633","14466961","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","loltyler1","373474635","16575","39733","22531","3378071","82789","7869558","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","ESL_CSGO","370297890","44010","388012","8413","3940681","70369","10723848","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","Myth","264612600","11430","77297","23150","6586173","789459","7346340","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dce85723-4eec-4f83-8821-9469e44110e7-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","PGL_Dota2","261415290","5895","120718","44344","159181","55283","10267317","true","false","English","PGL_Dota2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","LIRIK","258762285","10050","57560","25747","2623006","25454","5459916","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Solary","249190470","37005","23825","6733","481442","22318","9083082","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","sodapoppin","246715815","11220","50262","21988","2731773","40435","5308026","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","imaqtpie","239723565","13290","32658","18037","2658197","41589","5440020","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5f449d90-818d-4e30-8548-5ffec5f603b6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","PGL_DOTA2RU","235973130","3765","189892","62674","94402","69334","6170681","true","false","Russian","PGL_DOTA2RU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","DrDisrespect","228261795","8775","55089","26012","4422124","201213","7494560","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","summit1g","227328135","9930","61196","22892","5355651","129232","5978925","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","dakotaz","212831895","13065","50812","16289","4407442","306772","4913492","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","RocketLeague","205284885","3480","94130","58989","1341468","82976","4753198","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fbc5661c-7812-4b43-bf5e-16c3ba536d5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Gotaga","204835065","9945","81529","20596","2343659","165866","4236684","true","false","French","Gotaga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","Dota2RuHub","163507170","14940","85883","10943","736932","13982","5626370","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cdnthe3rd-profile_image-8246eb11f7f4b215-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","CDNThe3rd","159223170","12930","27084","12313","2007726","200440","2971024","true","false","English","CDNThe3rd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","21","YoDa","157499880","13590","22932","11588","1720072","35642","4402171","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1fc90a02-f40a-40b1-9a77-a4031d9d3ec0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","KingRichard","156367260","14280","61958","10949","1534848","201885","2927796","true","false","English","KingRichard"
