"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","1892476710","15810","316671","119700","14713963","1462842","43995191","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","shroud","633956565","16395","83950","38667","7069584","270093","16490208","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","Riot Games (riotgames)","498959880","13185","199873","37842","4508388","52591","10410409","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c55fdc6-9b84-4daf-a33b-cb318acbf994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","OverwatchLeague","498753705","5805","162018","85917","1796619","74239","18896752","true","false","English","OverwatchLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","dakotaz","384908940","15210","74930","25305","4407442","355478","8746067","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/86ee103136bf621e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","epicenter_ru","308938035","4995","193726","61848","180135","34505","9132355","true","false","Russian","epicenter_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","sodapoppin","282107640","10575","72621","26676","2731773","60466","5954904","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Myth","257519865","6870","103195","37484","6586173","521132","7793317","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","DrLupo","252194895","13635","55099","18495","4022808","407628","6810146","true","false","English","DrLupo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fbc5661c-7812-4b43-bf5e-16c3ba536d5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Gotaga","248746800","12945","76261","19215","2343659","109654","4764141","true","false","French","Gotaga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","11","TimTheTatman","248586960","11730","76027","21191","4942208","260921","5635225","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","imaqtpie","246128835","14520","29452","16950","2658197","32625","5348017","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","LIRIK","244051365","9720","47649","25107","2623006","17845","5229086","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/epicenter_en1-profile_image-08e33d99a5945b3c-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","epicenter_en1","210923295","4845","158732","43533","415106","31013","10794567","true","false","English","epicenter_en1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","ESL_CSGO","210252105","44010","176575","4776","3940681","36470","5973027","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","NICKMERCS","204076530","13215","60680","15442","3657193","143678","2985343","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","summit1g","201135360","12390","47594","16233","5355651","77199","5548777","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Dota2RuHub","197257185","9450","145761","20873","736932","14392","6286445","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","DrDisrespect","184151100","9750","48925","18886","4422124","101865","5493863","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","20","BeyondTheSummit","164080635","44565","63004","3681","912116","8152","3400020","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/595a3dc1-b291-4371-ba8f-156420929c9f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","SypherPK","159594015","14385","55457","11094","3373727","303609","4483525","true","false","English","SypherPK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","YoDa","152662935","11895","24030","12833","1720072","31368","4376349","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","forsen","151392135","10590","30024","14295","1292057","24621","3062669","true","true","English","forsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cdnthe3rd-profile_image-8246eb11f7f4b215-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","24","CDNThe3rd","150938265","14070","27595","10727","2007726","151566","2963288","true","false","English","CDNThe3rd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","alanzoka","146092020","9660","33718","15122","3103062","92971","3309592","true","false","Portuguese","alanzoka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","CohhCarnage","144246390","12645","30078","11406","1243919","11387","2545547","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","27","Solary","143662665","40725","20040","3527","481442","10064","3735545","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/47b55e1d-5140-4b35-a0cc-583ff8a83928-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","28","SolaryFortnite","143269890","36120","40479","3966","1365379","73226","3867063","true","false","French","SolaryFortnite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","Thijs","139426890","10995","21448","12680","750861","15090","2336022","true","false","English","Thijs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1fc90a02-f40a-40b1-9a77-a4031d9d3ec0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","KingRichard","137006115","13785","59717","9938","1534848","189532","2584357","true","false","English","KingRichard"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1fb918ba71519c23-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","31","livekiss","127260750","44595","8200","2853","31155","951","535966","true","false","Chinese","livekiss"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","TSM_Daequan","125933145","7170","67363","17563","3776528","336673","2945055","true","true","English","TSM_Daequan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","33","nl_Kripp","122500905","9195","26766","13322","1374528","5700","2078983","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d469d937-d069-4b4c-a1fd-f3964bc80ca2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","霹靂布袋戲 (epilinet)","122304765","44565","6126","2743","23966","13185","1502388","true","false","Chinese","霹靂布袋戲 (epilinet)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/disguisedtoast-profile_image-56c467ceb53239f5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","35","DisguisedToast","120355815","10620","23879","11332","1318483","23390","2524218","false","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","36","풍월량 (hanryang1125)","119286615","11220","17318","10631","479392","6730","1819926","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/413914fa70ed23a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","LOLITOFDEZ","114986610","5340","46684","21532","1951413","190038","3928735","true","false","Spanish","LOLITOFDEZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/shiphtur-profile_image-e1da4894d17f08cd-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","38","Shiphtur","112312995","15465","16706","7261","707252","31373","2429915","true","false","English","Shiphtur"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8226f6c2-e779-4a30-8f0f-298324e47d63-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","Bethesda","110606565","2670","159066","41425","486301","91215","3717719","true","true","English","Bethesda"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5da18337-db02-4500-931d-d3ed6ab034f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","StarLadder_cs_en","110060325","9375","66979","11739","823179","20950","2774515","true","false","English","StarLadder_cs_en"
"https://static-cdn.jtvnw.net/jtv_user_pictures/da0f7414-bb9e-4993-b797-63ac05604502-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","ALOHADANCETV","109926240","15390","17371","7142","513808","23594","3309437","true","false","Russian","ALOHADANCETV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","sneakylol","109574055","10005","20281","10951","1637232","22061","2307535","true","false","English","sneakylol"
