"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Riot Games (riotgames)","1538976660","16245","468737","94735","4508388","143656","31465307","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Ninja","908404095","13935","173444","65188","14713963","454282","28394302","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","shroud","705903645","17790","87605","39679","7069584","285829","17228804","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Tfue","593682825","13425","152683","44221","8507016","501782","11722405","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a8eb6f2-823b-403c-b90e-20829ddf6517-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","Fortnite","327236505","3000","347325","109078","3104437","197036","7839621","true","false","English","Fortnite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","dakotaz","308114595","15000","45907","20540","4407442","199202","5639570","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","NICKMERCS","283178820","11190","60884","25305","3657193","155916","4282960","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","TSM_Daequan","252882540","8730","75394","28966","3776528","217851","4445612","true","true","English","TSM_Daequan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","OgamingLoL","238970055","44325","82495","5390","506290","18565","5798041","true","false","French","OgamingLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","10","TimTheTatman","231629310","10755","47688","21536","4942208","120930","4775323","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/768a63fc-5b33-4106-aebd-8e8f32729bd0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","LCK_Korea","230089560","7035","93094","32705","576376","24846","7261575","true","false","Korean","LCK_Korea"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","LIRIK","228779535","9900","50282","23108","2623006","20221","4218846","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","DrDisrespect","218507685","8880","56403","24606","4422124","86903","5242722","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","TwitchPresents","205542735","43245","21850","4752","859235","27190","8826488","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","LVPes","195709980","16065","91290","12181","560060","32432","5308893","true","false","Spanish","LVPes"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","sodapoppin","182449980","9030","55710","20204","2731773","23392","3597034","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","xQcOW","179887425","18450","22768","9749","3058233","48625","3273228","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Castro_1021","179249220","12270","53290","14608","2386094","50272","2287448","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","19","풍월량 (hanryang1125)","172479660","15675","20450","11003","479392","9848","2432868","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","summit1g","172067325","13050","31807","13184","5355651","36302","3798686","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","RocketLeague","169839825","5580","71240","30436","1341468","26166","3412561","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","YoDa","166884960","11700","34191","14263","1720072","27489","4302153","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","Dota2RuHub","165464625","3885","109518","42590","736932","14824","4517394","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9807cf14-750b-4578-b26b-eed443f72a50-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","AdmiralBahroo","162857640","16230","31111","10033","770646","29320","1714753","true","false","English","AdmiralBahroo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fbc5661c-7812-4b43-bf5e-16c3ba536d5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","Gotaga","160627740","7140","115968","22496","2343659","57363","2959467","true","false","French","Gotaga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","GamesDoneQuick","156583260","3510","77865","44610","1693458","17841","7798817","true","false","English","GamesDoneQuick"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","27","imaqtpie","149969040","13395","21431","11195","2658197","27439","3843176","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/reckful-profile_image-b22e4d39d3d6e045-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","28","Reckful","144166665","12315","29331","11706","923809","20915","2741995","true","false","English","Reckful"
