"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/faceittv-profile_image-45e9e95c0f48f50e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","FACEIT TV (faceittv)","2001886935","22470","487237","89091","1689489","464451","33790542","true","false","English","FACEIT TV (faceittv)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Ninja","996934140","13260","302567","75183","14713963","641121","29802714","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/889e7697-b636-48d9-be15-a9a39e286a64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","Riot Games (riotgames)","541578075","11430","259372","47381","4508388","61098","12077141","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","shroud","512195760","16395","111075","31240","7069584","259607","16190791","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89483edd-c436-4ec8-a806-cf5fff07b889-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","StarLadder5","510166395","9900","185035","51531","1029203","60231","9952342","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b61f7f62-7b01-41b5-a81b-904972524e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","TwitchPresents","345515805","42165","42529","8193","859235","58471","13260197","true","false","English","TwitchPresents"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sco-profile_image-3dcdeefb30024937-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","Sco","301065840","13170","162035","22859","377358","104263","8394783","true","false","English","Sco"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Tfue","272275170","7185","93984","37894","8507016","405014","6404395","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","NICKMERCS","270377280","9915","51375","27269","3657193","265378","4884584","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","TSM_Daequan","252635535","8715","70919","28988","3776528","294018","5090477","true","true","English","TSM_Daequan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/97369beb-a4c7-4632-80b5-0b648d386f55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","dakotaz","240164025","12075","71102","19888","4407442","178521","5011321","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","TimTheTatman","235459650","10530","55392","22360","4942208","171269","5425771","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","sodapoppin","226703025","10485","53045","21621","2731773","26871","4502367","true","true","English","sodapoppin"
