"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","summit1g","509410680","16260","46804","31328","5355651","75744","6663468","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","loltyler1","418673145","13980","56693","29947","3378071","99517","6523811","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","3","ESL_CSGO","410729475","41220","241941","9963","3940682","83732","11279238","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/91e7b44f-d4e8-4121-a19c-e9266358a08a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Method","390664860","41520","84681","9408","403712","35565","9378141","true","false","English","Method"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","5","xQcOW","357075855","18390","30706","19416","3058233","103891","5386590","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c63aba51-b465-4c8a-9a79-aad1afc3c696-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","Rainbow6","326152005","5385","135471","60566","1422927","90833","3486210","true","true","English","Rainbow6"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4bf37688-7b19-4d3f-9d56-11740ad38c4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","csgomc_ru","322029945","7995","271731","40278","449218","188725","8591993","true","false","Russian","csgomc_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c495b77e-7f47-4bc5-a216-3045d7545796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Gaules","314358195","41430","75633","7587","1599663","38640","5425710","true","true","Portuguese","Gaules"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4dcfca5f-b334-4a03-a273-29f865c9ee90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","LCK","277156065","7140","117509","38816","843848","64855","5499483","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","LEC","271438665","6735","172331","40302","863849","120666","4200867","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/768a63fc-5b33-4106-aebd-8e8f32729bd0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","LCK_Korea","261871320","7245","90299","36144","576376","39583","10610256","true","false","Korean","LCK_Korea"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","LCS","255417390","3930","156980","64991","1027667","119881","5080688","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","RocketLeague","246174855","6120","140358","40224","1341468","99931","5613610","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6c5ba4a1-5c61-4ff6-a7f4-ac791c19aef2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","TFBlade","241179120","13185","35833","18291","977801","99052","4452302","true","false","English","TFBlade"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5dc63b3a-5aee-4f6a-9b69-211341a22630-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","sodapoppin","209091810","10980","91028","19042","2731773","-29084","3443591","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7f4e602e-d80b-4a44-8b9c-e9da8e25b286-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","Sacriel","200424780","18450","22727","10862","674236","36922","6999356","true","false","English","Sacriel"
"https://static-cdn.jtvnw.net/jtv_user_pictures/07dce467-244c-419d-8a37-51e79f717288-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","BLASTPremier","187712160","4230","113167","44375","477402","81474","5057331","true","false","English","BLASTPremier"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","18","풍월량 (hanryang1125)","186109380","15555","22108","11964","479321","7893","2862917","true","true","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","LIRIK","170000370","10170","30949","16715","2622946","7931","2896017","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","NICKMERCS","169406235","9900","30774","17111","3657193","35303","1789149","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61f85a70-33e9-4144-b08a-bee144d444dc-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","21","MontanaBlack88","168405615","5280","147455","31894","2710523","87118","2336772","true","true","German","MontanaBlack88"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","22","Rubius","168340560","4590","74017","36675","5025658","205807","3276634","true","false","Spanish","Rubius"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","OgamingLoL","167974845","40905","36000","4105","506178","7069","8364216","true","false","French","OgamingLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8856d45e-c838-45cf-bda3-b9801f2a17e9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","dota2mc_ru","167191110","7365","97194","22700","430560","18786","4447151","true","false","Russian","dota2mc_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/limit_maximum-profile_image-0e7ed1a1eba4eb13-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","limit_maximum","158602800","11085","124818","14307","158062","44615","2952049","true","true","English","limit_maximum"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","26","Gorgc","154092945","12660","56449","12171","373755","28421","2337973","true","true","English","Gorgc"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","27","Castro_1021","154052460","7845","45438","19636","2385777","44920","1499330","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6ec93efb-dd01-4651-84a1-e263097de898-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","Lord_Kebun","150979380","12075","20961","12503","420295","7933","1467605","true","false","English","Lord_Kebun"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","auronplay","148978635","3300","85068","45144","3374834","208491","2300546","true","false","Spanish","auronplay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","YoDa","145355940","14985","21880","9699","1720072","19394","3024756","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/21df6206-6be7-4a70-937d-e4853b99c475-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","ESAMarathon","143700270","29070","22132","4942","233789","16765","19095771","true","false","English","ESAMarathon"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","32","Solary","137409615","35865","23197","3830","481436","11722","4033723","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","33","TimTheTatman","135271545","9180","31255","14734","4942208","42133","2371404","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","Tfue","127627995","6015","41563","21217","8507016","46180","2432530","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","DrDisrespect","124951815","5685","43269","21978","4422124","45426","3514566","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","DrLupo","124071660","12840","44777","9662","4020712","23925","4629203","true","false","English","DrLupo"
