,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
League of Legends,1,League of Legends,5084083980,78075720,326063,2481,125411,114044,1751,65.12,League of Legends
Counter-Strike: Global Offensive,2,Counter-Strike: Global Offensive,4088341800,37524540,945413,1574,105071,91707,841,108.95,Counter-Strike: Global Offensive
PLAYERUNKNOWN'S BATTLEGROUNDS,3,PLAYERUNKNOWN'S BATTLEGROUNDS,3658026000,102190560,203409,3507,151978,82055,2292,35.8,PLAYERUNKNOWN'S BATTLEGROUNDS
Hearthstone,4,Hearthstone,1623537480,9742020,141493,352,21973,36418,218,166.65,Hearthstone
Dota 2,5,Dota 2,1462688820,19325700,111186,825,29425,32810,433,75.69,Dota 2
Overwatch,6,Overwatch,1169807220,52502280,92616,1985,135242,26240,1177,22.28,Overwatch
Grand Theft Auto V,7,Grand Theft Auto V,931729560,23383080,71728,906,71008,20900,524,39.85,Grand Theft Auto V
IRL,8,IRL,892337160,14129520,181216,456,45656,20016,316,63.15,IRL
World of Warcraft,9,World of Warcraft,669526260,30497280,50871,1860,41261,15018,684,21.95,World of Warcraft
Heroes of the Storm,10,Heroes of the Storm,363387720,8070900,24523,287,14874,8151,181,45.02,Heroes of the Storm
Minecraft,11,Minecraft,326416920,20382660,34758,769,59890,7322,457,16.01,Minecraft
RuneScape,12,RuneScape,304493580,5829120,84990,219,9186,6830,130,52.24,RuneScape
Z1 Battle Royale,13,Z1 Battle Royale,300050460,18375120,28827,699,30106,6730,412,16.33,Z1 Battle Royale
Tom Clancy's Rainbow Six: Siege,14,Tom Clancy's Rainbow Six: Siege,267907080,25337760,27820,1038,75326,6009,568,10.57,Tom Clancy's Rainbow Six: Siege
StarCraft II,15,StarCraft II,253253400,3133800,37111,117,5069,5680,70,80.81,StarCraft II
Talk Shows & Podcasts,16,Talk Shows & Podcasts,244053900,3414780,69117,150,11583,5474,76,71.47,Talk Shows & Podcasts
Destiny,17,Destiny,232376460,34388280,17719,1781,51941,5212,771,6.76,Destiny
Fortnite,18,Fortnite,227386080,9463440,74484,1322,21887,5100,212,24.03,Fortnite
Creative,19,Creative,217077240,14381100,38636,511,28571,4869,322,15.09,Creative
Black Desert Online,20,Black Desert Online,216809160,9040800,24354,312,11427,4863,202,23.98,Black Desert Online
FIFA 17,21,FIFA 17,211686060,7558560,27029,469,24498,4748,169,28.01,FIFA 17
