"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","7719295500","438579360","657462","18292","877646","178935","10166","17.6","Fortnite"
"League of Legends","2","League of Legends","4455790200","87587160","476710","3849","138062","103286","2030","50.87","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","3","PLAYERUNKNOWN'S BATTLEGROUNDS","2977131180","108227640","282830","6473","195230","69010","2508","27.51","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","4","Hearthstone","2580125280","15914520","309090","2277","37164","59808","368","162.12","Hearthstone"
"Dota 2","5","Dota 2","2408515320","24078600","310168","1386","32117","55830","558","100.03","Dota 2"
"IRL","6","IRL","2220452220","31317180","147414","1103","90526","51470","725","70.9","IRL"
"Overwatch","7","Overwatch","1919821080","55749120","191674","3111","130461","44502","1292","34.44","Overwatch"
"Counter-Strike: Global Offensive","8","Counter-Strike: Global Offensive","1375541400","39714120","321506","1869","105690","31885","920","34.64","Counter-Strike: Global Offensive"
"God of War","9","God of War","1218101340","32574000","292083","5006","67022","28236","755","37.39","God of War"
"World of Warcraft","10","World of Warcraft","741581040","35197800","93738","2054","47290","17190","815","21.07","World of Warcraft"
"Grand Theft Auto V","11","Grand Theft Auto V","591625860","17915220","47687","821","42792","13714","415","33.02","Grand Theft Auto V"
"Tom Clancy's Rainbow Six: Siege","12","Tom Clancy's Rainbow Six: Siege","482461680","32824020","45756","1372","93235","11183","760","14.7","Tom Clancy's Rainbow Six: Siege"
"Welcome to the Game II","13","Welcome to the Game II","417733320","1674060","129007","147","5967","9683","38","249.53","Welcome to the Game II"
"StarCraft II","14","StarCraft II","363092880","4476960","37145","168","7256","8416","103","81.1","StarCraft II"
"Heroes of the Storm","15","Heroes of the Storm","337128060","8096580","32153","304","14453","7814","187","41.64","Heroes of the Storm"
"FIFA 18","16","FIFA 18","332005680","8593440","88554","510","29000","7696","199","38.63","FIFA 18"
"Rocket League","17","Rocket League","328505640","12864900","96926","568","54428","7614","298","25.54","Rocket League"
"Casino_old","18","Casino_old","313414020","1444500","24497","68","1300","7265","33","216.97","Casino_old"
"Talk Shows & Podcasts","19","Talk Shows & Podcasts","300221220","2577780","55204","134","8442","6959","59","116.47","Talk Shows & Podcasts"
"Sea of Thieves","20","Sea of Thieves","297499020","16249500","36652","1207","33261","6896","376","18.31","Sea of Thieves"
"Dead by Daylight","21","Dead by Daylight","278034300","13088940","45790","486","21709","6444","303","21.24","Dead by Daylight"
"Creative","22","Creative","260375700","17630340","24550","657","32921","6035","408","14.77","Creative"
"Far Cry 5","23","Far Cry 5","249549180","16246080","56296","1359","65989","5784","376","15.36","Far Cry 5"
"Music & Performing Arts","24","Music & Performing Arts","242118540","8517240","29341","260","9555","5612","197","28.43","Music & Performing Arts"
"Minecraft","25","Minecraft","239512200","13213800","26687","608","38162","5551","306","18.13","Minecraft"
"Path of Exile","26","Path of Exile","239019300","7073820","26342","296","8834","5540","163","33.79","Path of Exile"
"RuneScape","27","RuneScape","218645940","6568140","30442","238","8898","5068","152","33.29","RuneScape"
"Poker","28","Poker","215640180","2343840","32884","166","2576","4998","54","92","Poker"
"World of Tanks","29","World of Tanks","199625580","7837380","16180","431","11398","4627","181","25.47","World of Tanks"
"Black Desert Online","30","Black Desert Online","196771620","7877880","10939","278","8919","4561","182","24.98","Black Desert Online"
"Call of Duty: WWII","31","Call of Duty: WWII","194826600","5553780","85806","346","45787","4516","128","35.08","Call of Duty: WWII"
"Magic: The Gathering","32","Magic: The Gathering","194337660","2863020","22755","144","4486","4504","66","67.88","Magic: The Gathering"
"Radical Heights","33","Radical Heights","187582440","5166720","196312","1138","22756","4348","119","36.31","Radical Heights"
"Escape From Tarkov","34","Escape From Tarkov","162914340","6796320","27962","692","9178","3776","157","23.97","Escape From Tarkov"
"Frostpunk","35","Frostpunk","148996200","2416860","58338","689","6416","3453","56","61.65","Frostpunk"
"Street Fighter V","36","Street Fighter V","145520400","1995840","61872","108","4462","3373","46","72.91","Street Fighter V"
