"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","7539518640","132277560","1100440","5944","195507","169123","2967","57","League of Legends"
"Fortnite","2","Fortnite","4745360820","236036820","1611930","43173","437772","106445","5294","20.1","Fortnite"
"Just Chatting","3","Just Chatting","4105199760","65388000","244285","2347","157126","92086","1466","62.78","Just Chatting"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","2685940860","55952340","381582","2578","135261","60249","1255","48","Counter-Strike: Global Offensive"
"Grand Theft Auto V","5","Grand Theft Auto V","2213258400","35725920","136460","1775","58109","49646","801","61.95","Grand Theft Auto V"
"World of Warcraft","6","World of Warcraft","2162643780","74677500","139148","4003","76104","48511","1675","28.96","World of Warcraft"
"Dota 2","7","Dota 2","1801980180","26970840","176174","1218","31508","40421","604","66.81","Dota 2"
"Apex Legends","8","Apex Legends","1600914420","103079100","398711","7967","177082","35911","2312","15.53","Apex Legends"
"FIFA 20","9","FIFA 20","1536442380","25375860","149965","1463","46820","34464","569","60.55","FIFA 20"
"Call of Duty: Modern Warfare","10","Call of Duty: Modern Warfare","1361121120","45526980","368801","13276","136962","30532","1021","29.9","Call of Duty: Modern Warfare"
"PLAYERUNKNOWN'S BATTLEGROUNDS","11","PLAYERUNKNOWN'S BATTLEGROUNDS","996052320","49411680","72734","1869","72046","22343","1108","20.16","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Minecraft","12","Minecraft","903902400","43787220","152441","2147","116877","20275","982","20.64","Minecraft"
"Destiny 2","13","Destiny 2","891988380","63431940","228980","7288","95976","20008","1422","14.06","Destiny 2"
"Hearthstone","14","Hearthstone","844654800","5780940","75525","290","10887","18946","129","146.11","Hearthstone"
"Teamfight Tactics","15","Teamfight Tactics","748434120","14266560","86226","602","35995","16788","320","52.46","Teamfight Tactics"
"Overwatch","16","Overwatch","652953000","40923480","55125","1902","85624","14646","917","15.96","Overwatch"
"Legends of Runeterra","17","Legends of Runeterra","627136680","3993060","236450","884","12738","14067","89","157.06","Legends of Runeterra"
"Dead by Daylight","18","Dead by Daylight","558461880","28457340","46873","1678","48078","12527","638","19.62","Dead by Daylight"
"Slots","19","Slots","542375880","4160820","55003","169","3037","12166","93","130.35","Slots"
"Tom Clancy's Rainbow Six: Siege","20","Tom Clancy's Rainbow Six: Siege","496360020","42636240","47273","1785","103164","11134","956","11.64","Tom Clancy's Rainbow Six: Siege"
"Escape From Tarkov","21","Escape From Tarkov","439673400","13287660","70014","1347","15293","9862","298","33.09","Escape From Tarkov"
"Magic: The Gathering","22","Magic: The Gathering","434446500","4704060","118164","227","8150","9745","105","92.36","Magic: The Gathering"
"Rocket League","23","Rocket League","402320880","16340160","96350","756","51378","9024","366","24.62","Rocket League"
"The Outer Worlds","24","The Outer Worlds","298165020","9047880","76547","2045","25460","6688","202","32.95","The Outer Worlds"
"Super Mario Maker 2","25","Super Mario Maker 2","277011480","3224040","30315","167","4336","6213","72","85.92","Super Mario Maker 2"
