,year,quarter,month,month_number,date,rank,game,watch_time,stream_time,peak_viewers,peak_channels,streamers,average_viewers,average_channels,average_viewer_ratio,,
0,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
1,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
2,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
3,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
4,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
5,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
6,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
7,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
8,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
9,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
10,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
11,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
12,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
13,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
14,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
15,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
16,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
17,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
18,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
19,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
20,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
21,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
22,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
23,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
24,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
25,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
26,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
27,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
28,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
29,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
30,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
31,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
32,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
33,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
34,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
35,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
36,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
37,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
38,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
39,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
40,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
41,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
42,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
43,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
44,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
45,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
46,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
47,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
48,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
49,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
50,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
51,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
52,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
53,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
54,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
55,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
56,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
57,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
58,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
59,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
60,2016,Q1,January,1,1/1/16,,,,,,,,,,,,
